x,y,z,id,group1,group2
0.94,4.884,287.09030100334,287.09030100334,92383583533467,17025626393514
0.94,4.884,290.67892976589,290.67892976589,92451242927323,17038094356565
0.94,4.884,294.26755852843,294.26755852843,92518902321178,17050562319617
0.94,4.884,297.85618729097,297.85618729097,92582658758599,17062311608151
0.94,4.884,301.44481605351,301.44481605351,92645720187726,17073932920686
0.94,4.884,305.03344481605,305.03344481605,92705838872464,17085012076810
0.94,4.884,308.6220735786,308.6220735786,92764295692367,17095785059322
0.94,4.884,312.21070234114,312.21070234114,92820772877396,17106193251453
0.94,4.884,315.79933110368,315.79933110368,92874618699796,17116116558320
0.94,4.884,319.38795986622,319.38795986622,92927450767056,17125853045259
0.94,4.884,322.97658862876,322.97658862876,92976679614642,17134925512641
0.94,4.884,326.5652173913,326.5652173913,93025863098991,17143989620030
0.94,4.884,330.15384615385,330.15384615385,93070469462880,17152210209677
0.94,4.884,333.74247491639,333.74247491639,93115075826769,17160430799324
0.94,4.884,337.33110367893,337.33110367893,93155979930036,17167969092409
0.94,4.884,340.91973244147,340.91973244147,93195958791599,17175336870963
0.94,4.884,344.50836120401,344.50836120401,93233203379022,17182200743126
0.94,4.884,348.09698996656,348.09698996656,93268550219000,17188714874549
0.94,4.884,351.6856187291,351.6856187291,93302132858298,17194903876467
0.94,4.884,355.27424749164,355.27424749164,93332843659559,17200563619277
0.94,4.884,358.86287625418,358.86287625418,93362762104742,17206077336520
0.94,4.884,362.45150501672,362.45150501672,93388833353093,17210882042854
0.94,4.884,366.04013377926,366.04013377926,93414904601445,17215686749188
0.94,4.884,369.62876254181,369.62876254181,93436514233769,17219669211061
0.94,4.884,373.21739130435,373.21739130435,93457942923113,17223618326416
0.94,4.884,376.80602006689,376.80602006689,93475881926559,17226924317516
0.94,4.884,380.39464882943,380.39464882943,93492665551373,17230017380564
0.94,4.884,383.98327759197,383.98327759197,93506932747979,17232646683756
0.94,4.884,387.57190635452,387.57190635452,93519069313267,17234883326720
0.94,4.884,391.16053511706,391.16053511706,93529663712515,17236835759402
0.94,4.884,394.7491638796,394.7491638796,93537151728316,17238215707611
0.94,4.884,398.33779264214,398.33779264214,93544072527108,17239491121752
0.94,4.884,401.92642140468,401.92642140468,93546911010055,17240014194064
0.94,4.884,405.51505016722,405.51505016722,93549749493002,17240537266377
0.94,4.884,409.10367892977,409.10367892977,93548346067061,17240278585038
0.94,4.884,412.69230769231,412.69230769231,93546534541082,17239944693763
0.94,4.884,416.28093645485,416.28093645485,93541456503279,17239008807617
0.94,4.884,419.86956521739,419.86956521739,93534994999606,17237817958561
0.94,4.884,423.45819397993,423.45819397993,93526242618183,17236204917064
0.94,4.884,427.04682274247,427.04682274247,93515131675658,17234157209568
0.94,4.884,430.63545150502,430.63545150502,93502705407029,17231867096860
0.94,4.884,434.22408026756,434.22408026756,93486946072071,17228962723819
0.94,4.884,437.8127090301,437.8127090301,93470846560830,17225995658722
0.94,4.884,441.40133779264,441.40133779264,93450440387514,17222234906603
0.94,4.884,444.98996655518,444.98996655518,93430034214199,17218474154483
0.94,4.884,448.57859531773,448.57859531773,93405617516699,17213974291477
0.94,4.884,452.16722408027,452.16722408027,93380566566972,17209357540327
0.94,4.884,455.75585284281,455.75585284281,93352481050465,17204181540272
0.94,4.884,459.34448160535,459.34448160535,93322787894106,17198709263717
0.94,4.884,462.93311036789,462.93311036789,93291035275647,17192857443078
0.94,4.884,466.52173913043,466.52173913043,93256702990026,17186530208295
0.94,4.884,470.11036789298,470.11036789298,93221285174799,17180002918210
0.94,4.884,473.69899665552,473.69899665552,93182317344676,17172821385900
0.94,4.884,477.28762541806,477.28762541806,93143236425965,17165619012178
0.94,4.884,480.8762541806,480.8762541806,93099637143376,17157583936534
0.94,4.884,484.46488294314,484.46488294314,93056037860786,17149548860890
0.94,4.884,488.05351170569,488.05351170569,93008669266656,17140819128320
0.94,4.884,491.64214046823,491.64214046823,92960443130757,17131931356987
0.94,4.884,495.23076923077,495.23076923077,92909421290012,17122528357448
0.94,4.884,498.81939799331,498.81939799331,92856573406816,17112788831476
0.94,4.884,502.40802675585,502.40802675585,92801901483541,17102713148114
0.94,4.884,505.99665551839,505.99665551839,92744437465522,17092122901889
0.94,4.884,509.58528428094,509.58528428094,92686118811485,17081375152437
0.94,4.884,513.17391304348,513.17391304348,92624044777142,17069935313604
0.94,4.884,516.76254180602,516.76254180602,92561970742800,17058495474771
0.94,4.884,520.35117056856,520.35117056856,92495405505112,17046227939756
0.94,4.884,523.9397993311,523.9397993311,92428728078507,17033939729137
0.94,4.884,527.52842809365,527.52842809365,92358530505482,17021002781124
0.94,4.884,531.11705685619,531.11705685619,92287256815754,17007867512626
0.94,4.884,534.70568561873,534.70568561873,92213431326332,16994261966027
0.94,4.884,538.29431438127,538.29431438127,92137569007164,16980281046540
0.94,4.884,541.88294314381,541.88294314381,92060120207126,16966007750200
0.94,4.884,545.47157190635,545.47157190635,91979677396154,16951182679487
0.94,4.884,549.0602006689,549.0602006689,91898610078021,16936242516667
0.94,4.884,552.64882943144,552.64882943144,91813595416172,16920574887243
0.94,4.884,556.23745819398,556.23745819398,91728580754324,16904907257820
0.94,4.884,559.82608695652,559.82608695652,91639337189882,16888460272601
0.94,4.884,563.41471571906,563.41471571906,91549759820662,16871951769605
0.94,4.884,567.00334448161,567.00334448161,91456917528285,16854841565208
0.94,4.884,570.59197324415,570.59197324415,91362787096996,16837493966253
0.94,4.884,574.18060200669,574.18060200669,91266351929787,16819721621395
0.94,4.884,577.76923076923,577.76923076923,91167678582703,16801536796423
0.94,4.884,581.35785953177,581.35785953177,91067656579227,16783103424000
0.94,4.884,584.94648829431,584.94648829431,90964450962704,16764083335115
0.94,4.884,588.53511705686,588.53511705686,90860848346838,16744990082177
0.94,4.884,592.1237458194,592.1237458194,90753121606390,16725136783476
0.94,4.884,595.71237458194,595.71237458194,90645394865943,16705283484775
0.94,4.884,599.30100334448,599.30100334448,90533708566511,16684700468593
0.94,4.884,602.88963210702,602.88963210702,90421472345842,16664016105987
0.94,4.884,606.47826086957,606.47826086957,90306230578021,16642777843277
0.94,4.884,610.06688963211,610.06688963211,90189497018014,16621264654303
0.94,4.884,613.65551839465,613.65551839465,90070707056885,16599372485842
0.94,4.884,617.24414715719,617.24414715719,89949488794530,16577032799459
0.94,4.884,620.83277591973,620.83277591973,89827158098805,16554488099864
0.94,4.884,624.42140468227,624.42140468227,89701468266038,16531324336244
0.94,4.884,628.01003344482,628.01003344482,89575604477868,16508128513937
0.94,4.884,631.59866220736,631.59866220736,89445456700314,16484143184238
0.94,4.884,635.1872909699,635.1872909699,89315308922760,16460157854538
0.94,4.884,638.77591973244,638.77591973244,89181476040763,16435493387540
0.94,4.884,642.36454849498,642.36454849498,89046884436431,16410689093667
0.94,4.884,645.95317725753,645.95317725753,88909548904920,16385379114498
0.94,4.884,649.54180602007,649.54180602007,88770528082915,16359758548871
0.94,4.884,653.13043478261,653.13043478261,88629698582958,16333804657425
0.94,4.884,656.71906354515,656.71906354515,88486263642220,16307370602730
0.94,4.884,660.30769230769,660.30769230769,88341949036211,16280774432314
0.94,4.884,663.89632107023,663.89632107023,88194115564157,16253529761242
0.94,4.884,667.48494983278,667.48494983278,88046282092103,16226285090170
0.94,4.884,671.07357859532,671.07357859532,87894108966550,16198240653500
0.94,4.884,674.66220735786,674.66220735786,87741893037503,16170188328468
0.94,4.884,678.2508361204,678.2508361204,87586269633288,16141508031358
0.94,4.884,681.83946488294,681.83946488294,87429687806748,16112651104213
0.94,4.884,685.42809364548,685.42809364548,87270624012393,16083336769085
0.94,4.884,689.01672240803,689.01672240803,87109693331438,16053678380811
0.94,4.884,692.60535117057,692.60535117057,86947199214211,16023731863025
0.94,4.884,696.19397993311,696.19397993311,86781937204036,15993275243446
0.94,4.884,699.78260869565,699.78260869565,86616023009684,15962698431251
0.94,4.884,703.37123745819,703.37123745819,86446447675911,15931446898721
0.94,4.884,706.95986622074,706.95986622074,86276872342137,15900195366191
0.94,4.884,710.54849498328,710.54849498328,86103253655342,15868198674279
0.94,4.884,714.13712374582,714.13712374582,85929383482292,15836155635353
0.94,4.884,717.72575250836,717.72575250836,85752384705407,15803536018409
0.94,4.884,721.3143812709,721.3143812709,85574238654234,15770704967492
0.94,4.884,724.90301003344,724.90301003344,85393871041378,15737464499623
0.94,4.884,728.49163879599,728.49163879599,85211468547362,15703849018605
0.94,4.884,732.08026755853,732.08026755853,85027743528378,15669989806256
0.94,4.884,735.66889632107,735.66889632107,84841104500777,15635593564201
0.94,4.884,739.25752508361,739.25752508361,84654033680701,15601117746108
0.94,4.884,742.84615384615,742.84615384615,84463178497628,15565944498968
0.94,4.884,746.4347826087,746.4347826087,84272323314555,15530771251828
0.94,4.884,750.02341137124,750.02341137124,84077723165735,15494907836061
0.94,4.884,753.61204013378,753.61204013378,83882672676397,15458961425972
0.94,4.884,757.20066889632,757.20066889632,83684771775436,15422489706818
0.94,4.884,760.78929765886,760.78929765886,83485547295416,15385774062165
0.94,4.884,764.3779264214,764.3779264214,83284358234533,15348696360543
0.94,4.884,767.96655518395,767.96655518395,83080981541967,15311215495422
0.94,4.884,771.55518394649,771.55518394649,82876517084969,15273534164018
