x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,group13,group14,group15
62.354,72,0,0,555.31147439839,33737.875258864,99562.912618986,48986.310008207,54652.90493122,166564.81348228,45493299.988119,2697523031.0669,23723636894.35,66461677143.054,118256316577.81,31613463721.589,23048581374.599,4081741261.8205,1381155248.7794
62.354,72,3.5886287625418,3.5886287625418,989.18864299181,85680.162152459,344397.71561671,172202.35111109,192432.15326301,556156.82368605,147631120.10448,8792499468.9142,77761363095.538,219306942977.73,396832826796.89,110304479923.21,83413848191.96,15006920990.144,5198817144.5754
62.354,72,7.1772575250836,7.1772575250836,1624.2032541883,153665.81557461,653467.90963165,327765.45325295,366453.97405472,985140.18290557,250554934.76727,14935882038.992,132241574234.99,373364976462.56,677094657284.65,189064259171.34,143564332668.1,25879310691.407,8984820672.8425
62.354,72,10.765886287625,10.765886287625,2471.4243118368,238659.58505581,1030990.2343306,517776.80739605,579053.09389089,1455991.9879485,354285509.69025,21128451234.141,187169354349.47,528649141845.18,959087781790.58,267925336013.51,203537600808.83,36706178912.796,12742426805.452
62.354,72,14.354515050167,14.354515050167,4088.5549634725,387942.36604561,1678367.038232,842896.977953,942345.93295541,2088503.1534138,460233786.44801,27440072120.757,243113283189.67,686698328094.23,1245887005829.4,348060731328.8,264425560243.19,47688772419.274,16554806827.396
62.354,72,17.943143812709,17.943143812709,6559.3881044082,606873.27166941,2619089.6397547,1314730.0280369,1469016.7066284,2894446.1401423,567883775.82869,33839262788.611,299823089492.85,846899243593.38,1536571276652.1,429276332658.61,326130864075.84,58818146377.067,20418200543.629
62.354,72,21.531772575251,21.531772575251,9926.0880068527,898322.6937305,3864874.1737159,1939098.9510139,2165507.3147549,3880394.0547322,677210559.35824,40324203587.362,357283754010.8,1009210990900.6,1831068965141.5,511552843927.58,388639313379.65,70091828211.398,24331741162.502
62.354,72,25.120401337793,25.120401337793,16247.306915802,1421082.5627191,6078517.8793371,3046902.8765346,3399619.5994739,5432516.6368455,790565078.25731,47007230573.135,416492157281.62,1176455195906.7,2134510243708.5,596326637743.62,453044207029.8,81707398163.181,28363978136.53
62.354,72,28.709030100334,28.709030100334,26096.330911231,2207478.1502342,9384610.0161581,4699480.5485972,5238640.4651354,7617752.0165311,907193796.49267,53839214996.355,477015679478.71,1347412898636,2444688120048.2,682982289835.65,518878706502.58,93580786454.328,32485715578.964
62.354,72,32.297658862876,32.297658862876,39635.26888916,3266023.7518473,13815072.147792,6912471.0443622,7699650.1300244,10453141.399892,1026951593.9663,60810254385.712,538766552940.08,1521836236860.3,2761152978864.9,771394213252.84,586047414761.69,105694790510.74,36690981543.96
62.354,72,35.886287625418,35.886287625418,64440.748332295,5126722.2586382,21532332.883036,10761408.653025,11974037.9042,15177222.515433,1153898072.97,68071848804.941,603078920957.31,1703492096296,3090738546520.9,863471523627.66,656000730651.91,118310994045.46,41070582122.069
62.354,72,39.47491638796,39.47491638796,103780.02660003,7972326.9305506,33235432.121893,16590047.505357,18438575.857592,22173376.371713,1287392446.069,75557470135.528,669360804976.15,1890707846384.6,3430409873727.9,958366326341.25,728094489852.8,131313221741.93,45584187973.692
62.354,72,43.063545150502,43.063545150502,158280.33785064,11827651.454972,49005982.83352,24437323.6658,27134703.804589,31481943.750557,1427079443.1626,83242947482.75,737397773444.92,2082877731376.2,3779067874494.2,1055771562672,802095411399.34,144659400853.77,50217193930.147
62.354,72,46.652173913043,46.652173913043,255731.23164805,18451310.860459,75828527.979804,37761080.367036,41876329.504528,47040836.380861,1580987179.2247,91318334307.267,808847041317.09,2284677057957.3,4145192019008.8,1158055824985.4,879802846339.93,158674032948.02,55082248575.924
62.354,72,50.240802675585,50.240802675585,412993.10578013,28739046.549367,117063022.12969,58207593.719518,64461666.532553,70683950.153792,1750136206.9066,99710482129.45,883048137760.79,2494237540372.1,4525391094213.6,1264271535438.5,960496837644.49,173227265555.18,60134275189.296
62.354,72,53.829431438127,53.829431438127,632505.9875866,42759503.926132,172882017.04205,85853602.231156,94966439.099625,102479257.82686,1933841108.551,108373942962.94,959597986157.1,2710420537080.1,4917599155244.8,1373841518388.3,1043738889049.6,188240014847.81,65345820550.299
62.354,72,57.418060200669,57.418060200669,1015810.4745776,66310098.440925,265578511.78037,131672179.42242,145428438.05895,154780941.05154,2151135414.9222,117540985377.93,1040471207700.2,2938785676210.5,5331893368246,1489579978311.2,1131666623762.3,204097758803.17,70850702413.111
62.354,72,61.006688963211,61.006688963211,1645143.7277915,103446590.88233,409908909.73084,202851427.50373,223655448.96074,235521123.31784,2410575227.5257,127147037662.14,1125042903960.7,3177556449682.6,5765044241414.7,1610583994776.8,1223593822113.1,220676707376.1,76605949801.743
62.354,72,64.595317725753,64.595317725753,2530068.8652759,154342119.50935,606043828.3623,299430878.40113,329644915.22578,344651512.3196,2710784852.0322,137116732693.58,1212646097708.8,3424849065655.9,6213634030902.7,1735898754528,1318795094706.8,237846035913.8,82566148086.414
62.354,72,68.183946488294,68.183946488294,4040056.1149705,237969366.53582,924126616.74992,455684040.9941,500735043.3537,520232037.78264,3102915501.1107,147737025361.76,1305569201101.1,3687072729768.1,6689261064558.3,1868761222956,1419728443816.8,256048909705.94,88885145839.455
62.354,72,71.772575250836,71.772575250836,6562283.8534611,371818747.87887,1425232781.344,701118467.41558,768722944.80604,794337280.0668,3625100890.8581,158979023908.21,1403345924924.7,3962865199647.1,7189428960896.6,2008471280348.9,1525860995041.5,275189110114.57,95529547916.09
62.354,72,75.361204013378,75.361204013378,10134646.06924,556251434.18775,2108290852.0505,1034985644.8318,1132558997.1407,1165674242.4112,4273508250.5765,170725767595.78,1504951209252.8,4249333603873.8,7708890531733.1,2153563172355.2,1636079243606.3,295065822167.63,102429642773.92
62.354,72,78.94983277592,78.94983277592,16095328.689446,852850924.86471,3190166555.309,1562240040.2381,1705530486.1388,1748717401.0272,5192513484.0062,183355039774.58,1612979833525.5,4553645752731.9,8260561914191,2307635664372.9,1753113759308.7,316171101320.68,109756265525.06
62.354,72,82.538461538462,82.538461538462,26225157.663732,1334608503.7145,4912446907.768,2398283285.9799,2610607976.2646,2666213100.8341,6529234731.4238,196937612398.23,1727270244033.7,4875177106235.1,8843218099522.8,2470336580042.4,1876693400245.8,338455629896.28,117492318832.72
62.354,72,86.127090301003,86.127090301003,40676739.790187,2001913427.7108,7264920044.6587,3537035995.9245,3840036324.1174,3909199083.221,8268323567.3853,211295549482.84,1846318390091.3,5209695635113.6,9449190139374.9,2639524486665.3,2005191666887.2,361626112952.24,125535985282.13
62.354,72,89.715719063545,89.715719063545,64272421.206627,3052828186.8072,10903483993.828,5291844608.6337,5727755905.2019,5811070147.8907,10815699970.298,226994949633.26,1972997465840.9,5564860125338.4,10092124134333,2818984729883.4,2141474635897.4,386198320104.99,134066371709.51
62.354,72,93.304347826087,93.304347826087,105078281.86265,4784950617.5168,16746521737.229,8094447243.9272,8726453864.7343,8816736022.2099,14696370049.618,244382102820.93,2107601910003,5940915985523.9,10772147836690,3008718905344.4,2285531299005,412168850095.31,143082374194.21
62.354,72,96.892976588629,96.892976588629,163723693.96692,7196627072.4897,24733034480.746,11909913150.398,12792792816.281,12877184274.764,19839334991.602,263171824797.26,2247988674289.2,6331895955599.9,11478483740647,3205721594084.4,2435080419968.9,439126520178.66,152441240440.64
62.354,72,100.48160535117,100.48160535117,257491589.13041,10918316903.73,36790931214.784,17642597320.381,18872943964.354,18920446132.393,27341767946.582,284358696907.69,2397205316128.1,6745191160814.5,12223883381107,3413484573587.2,2592749474295.6,467542268480.3,162306611196.47
62.354,72,104.07023411371,104.07023411371,422582163.62485,17143351337.13,56274532006.182,26832759922.906,28542997288.978,28458991963.215,38937174815.795,309046470463.2,2556031750535.1,7181129188385.9,13007938941405,3631787568948.7,2758333359946.6,497374752458.71,172664366809.51
62.354,72,107.65886287625,107.65886287625,661682271.07088,25856257185.941,82870002580.317,39303287212.793,41586134567.999,41250917025.004,54295574322.758,336688804913.34,2721464574418.8,7631634815326.4,13816230238154,3856627712650.4,2928800493420.1,528078336156.33,183325031309.66
62.354,72,111.2474916388,111.2474916388,1036371522.0241,39040912372.09,122028932834.87,57542385763.938,60532634067.384,59710008682.184,76167983989.112,369211767324.16,2896359435426.9,8101822104665.5,14656462726336,4089991154332.1,3105600778248.1,559907714669.44,194377381056.3
