x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9
1,3,0,0,136676.28984205,336825.48171281,161913.23136425,314857.15368236,15102182.941911,1095544482.9896,322388912172.13,215459031036.7,30767820526.049
1,3,3.5886287625418,3.5886287625418,335458.60469865,1156415.4751328,565662.0052917,1100941.0116222,49081204.384561,3572205466.0572,1074777609996.4,756173191790.77,107196530821.04
1,3,7.1772575250836,7.1772575250836,591509.84370787,2174433.4797225,1067718.5825806,2076528.6648284,83500808.171403,6069995845.2032,1832634821654,1297567970887.7,183865454161.05
1,3,10.765886287625,10.765886287625,908118.28818327,3403692.6493757,1674340.1703733,3253534.0917498,118379299.55565,8589120293.1587,2596032261994.8,1839839202327.1,260793928476.07
1,3,14.354515050167,14.354515050167,1448745.4705304,5459073.3428927,2687054.5213854,5208150.3290754,154735310.10096,11155427673.117,3372300326563.8,2390285619458.7,338857064410.29
1,3,17.943143812709,17.943143812709,2226343.944392,8397541.9992564,4133650.1050531,7991739.7452868,192449414.38362,13756224742.597,4158537455168.2,2947711465418.5,417900495453.57
1,3,21.531772575251,21.531772575251,3249550.970864,12251134.648979,6029824.1584642,11634040.671834,231542688.49189,16390811185.613,4954550492710.9,3511991541697.3,497907587253.37
1,3,25.120401337793,25.120401337793,5040482.5459027,18963115.640403,9329658.4051269,17953854.897841,274550217.24888,19103694124.261,5773353051715.3,4092398134421,580195964396.04
1,3,28.709030100334,28.709030100334,7684648.8775265,28838357.830918,14181544.665785,27228877.922661,321504509.1905,21876084338.454,6609273923495.8,4684934280393.8,664203106080.89
1,3,32.297658862876,32.297658862876,11203765.610804,41952524.872748,20622157.237947,39527260.059433,372425965.20091,24704230040.132,7461162621931.5,5288785035738.3,749813628608.63
1,3,35.886287625418,35.886287625418,17254412.739986,64398463.980221,31636422.059233,60515602.088486,434172362.8992,27650707414.08,8346304100371.2,5916200626151.5,838764344255.01
1,3,39.47491638796,39.47491638796,26336664.74432,97943935.515387,48083726.628398,91801072.342822,508103809.45391,30691317342.456,9256927530857.2,6561672536649.1,930274457316.53
1,3,43.063545150502,43.063545150502,38501056.408254,142744332.12995,70037365.835935,133512528.57751,594225135.64253,33816920611.036,10190235956327,7223218123585.1,1024062886459.7
1,3,46.652173913043,46.652173913043,58978726.171959,217743627.36792,106750617.66005,203116698.2675,712165707.76002,37114536607.052,11167511547634,7915912556419.3,1122266105794.9
1,3,50.240802675585,50.240802675585,90194593.157645,331399030.91224,162323824.27741,308242442.83316,869594726.12124,40562548273.345,12180065811045,8633592566128.5,1224009989085.7
1,3,53.829431438127,53.829431438127,132243351.89989,483888078.47724,236828089.5205,448967512.98517,1066309005.9292,44143677838.719,13222676209617,9372556211652.9,1328769699641.3
1,3,57.418060200669,57.418060200669,201558013.8657,733512528.33607,358627100.8921,678419212.41806,1359853064.0967,47990712607.392,14320369378646,10150511686063,1439053375002.8
1,3,61.006688963211,61.006688963211,308830570.78642,1116746370.0236,545324738.89087,1029062011.8727,1783843701.882,52105928023.081,15464818905311,10961538086760,1554020161738.4
1,3,64.595317725753,64.595317725753,454123677.17623,1632947455.6815,796525308.30177,1499854370.3295,2336500409.2748,56459570751.324,16647460479522,11799565664684,1672809611149.2
1,3,68.183946488294,68.183946488294,688749318.67531,2459255748.5971,1197934233.0408,2249622815.9208,3186123222.2135,61292538735.929,17896691276485,12684630756544,1798255313065
1,3,71.772575250836,71.772575250836,1057308147.4608,3743082139.5222,1820223657.4241,3406992098.6084,4465388169.5822,66698409299.111,19205885409647,13611964518914,1929675763302
1,3,75.361204013378,75.361204013378,1559139570.6832,5477741146.6097,2659722927.8669,4963596641.6757,6163393562.6004,72624105851.548,20562044159839,14572359794331,2065766194844.8
1,3,78.94983277592,78.94983277592,2353333076.9664,8192659243.0241,3970625383.5841,7383469371.7757,8762666169.3428,79590996432.352,21996164158469,15587526241623,2209584791609.3
1,3,82.538461538462,82.538461538462,3619323233.845,12455505659.204,6022461912.9991,11147827752.449,12751433995.447,88004603147.105,23504421235035,16654495160314,2360691621894
1,3,86.127090301003,86.127090301003,5351920113.3277,18226979743.753,8794103559.3794,16210110869.848,18072898447.961,97749289313.182,25068103739203,17760039193020,2517214342789.2
1,3,89.715719063545,89.715719063545,8040217052.5858,27055607427.194,13020928535.912,23883997899.293,26062836735.243,110073402942.95,26718949395460,18925949516642,2682190203181.8
1,3,93.304347826087,93.304347826087,12387938402.833,41037247577.595,19684002678.8,35872160896.749,38402847281.513,126382058831.86,28455591353962,20150403334833,2855299080571.3
1,3,96.892976588629,96.892976588629,18367517957.658,59976038430.835,28678643683.369,51947542677.856,54823781642.795,146336495331.91,30252285476024,21415320929959,3033991258798
1,3,100.48160535117,100.48160535117,27467240417.91,88270966535.039,42060219961.054,75665791869.896,78829622675.325,172960075090.29,32136886515322,22738673334164,3220686540895.9
1,3,104.07023411371,104.07023411371,42395306385.507,133334011032.39,63223899532.675,112671773997.4,115770323019.85,210579748683.52,34104680095598,24114559518851,3414369270877.1
1,3,107.65886287625,107.65886287625,63024561225.733,194260251244.72,91686494557.388,161934371016.9,164456383289.73,257984770763.23,36122351682200,25520082813034,3611849306350
1,3,111.2474916388,111.2474916388,93826571104.395,283042719888.25,132911779896.7,232449618376.15,233344583742.43,322041740289.22,38202797282138,26960380200572,3813575973236.5
1,3,114.83612040134,114.83612040134,145072382689.19,424574292255.54,197910063803.11,341322211058.13,337629137966.43,414370203546.83,40315127242949,28406938247893,4015065855062.2
1,3,118.42474916388,118.42474916388,216217023000.29,614839371954.93,284538400073.81,484118092606.58,472412542432.78,530474244222.93,42422253497958,29836225773166,4213188531383.4
1,3,122.01337792642,122.01337792642,320479962550.96,884585732575.72,406225043084.64,681245819830.46,655490092966.07,683814673562.44,44498116790756,31222196722791,4403750625900.1
1,3,125.60200668896,125.60200668896,496364881823.55,1311497256667.9,595262570311.28,977426356961.61,922466953543.85,899143680679.62,46418498892291,32463574194556,4571569661821
1,3,129.19063545151,129.19063545151,741639294022.31,1878148565090.2,842418238139.01,1354810588424.3,1255115873562.7,1161120681396.1,48164145372280,33555760013313,4716608104977.9
1,3,132.77926421405,132.77926421405,1094563035244.2,2655793506155.8,1176436724065.7,1851342735995,1682423786721.3,1489262738236.9,49627560197702,34412280509909,4825959883576.7
1,3,136.36789297659,136.36789297659,1698117606463.5,3857705449098.7,1675203899251.8,2553093148243.3,2258681812297.8,1913551434692.3,50438800536412,34756092123882,4859297392227.1
1,3,139.95652173913,139.95652173913,2543433542015,5409155497587,2300466938273.7,3396394434472,2927320404312.6,2392007607795.1,50679698530124,34665762581853,4828729325291.7
1,3,143.54515050167,143.54515050167,3738059049911.1,7445492329895.4,3097560348683.4,4425188078482.2,3712130172097.5,2935714254667.4,50116355578788,33968546481346,4709004426192
1,3,147.13377926421,147.13377926421,5808793526744.1,10393645179935,4169194245675.9,5684016747236.7,4595546982380,3513905902934.6,47939031357139,32067585220454,4410584128634
1,3,150.72240802676,150.72240802676,8721171184852.3,13934763314777,5373253161806.9,7005247048549.7,5457543053758.4,4065997012440.6,44609952183672,29233694925525,3969976979636.4
1,3,154.3110367893,154.3110367893,12764906239735,18205258998072,6723904859468.6,8372419131883.7,6262957147605.2,4568833059802.9,39828049661825,25199200000578,3345291348918.6
1,3,157.89966555184,157.89966555184,19868111216835,23066575426812,7948958568641.2,9428775302167.5,6604287083298.1,4944692467271.5,33210758524582,18187113962034,2300415200619
1,3,161.48829431438,161.48829431438,25758024102338,27209154697284,8959075082021,10273061721083,6811339702185.6,5202033564580.5,27360950032588,12285451788833,1440661421824.1
1,3,165.07692307692,165.07692307692,29460755828855,30245709625086,9685361820315.3,10866317486996,6900937891166.4,5311828701223.4,22879158949058,8413088900042.5,907387663261.87
