x,y,z,id,group1,group2,group3
1,3,0,0,117572.66621073,586928305.38003,439738197203.5
1,3,3.5886287625418,3.5886287625418,280194.26107886,1893192447.129,1496055205244.6
1,3,7.1772575250836,7.1772575250836,491128.43059952,3212889481.606,2557384560770.9
1,3,10.765886287625,10.765886287625,784925.16102488,4552541171.9866,3627055106018.4
1,3,14.354515050167,14.354515050167,1209474.4202244,5919735098.0443,4708420576547.4
1,3,17.943143812709,17.943143812709,1833539.9850981,7323495223.1323,5804869391930.5
1,3,21.531772575251,21.531772575251,2757529.8721675,8774792940.2198,6919834392858.6
1,3,25.120401337793,25.120401337793,4129151.0134529,10287247356.155,8056802497711.8
1,3,28.709030100334,28.709030100334,6166334.2494484,11878081639.148,9219324230445.5
1,3,32.297658862876,32.297658862876,9301143.8302627,13579151047.392,10413489765195
1,3,35.886287625418,35.886287625418,14043279.437556,15418501862.069,11641888587200
1,3,39.47491638796,39.47491638796,21151138.486637,17434671172.792,12907664009201
1,3,43.063545150502,43.063545150502,31787019.184605,19682251050.254,14214736101611
1,3,46.652173913043,46.652173913043,47676935.31289,22234524008.704,15567131383181
1,3,50.240802675585,50.240802675585,71381336.792852,25190246243.295,16968987218812
1,3,53.829431438127,53.829431438127,106694738.03345,28682849323.832,18424553687020
1,3,57.418060200669,57.418060200669,159235214.52711,32892901001.799,19938191896225
1,3,61.006688963211,61.006688963211,239306552.26653,38132895588.651,21517863955547
1,3,64.595317725753,64.595317725753,361458681.75037,44787730379.75,23168338567180
1,3,68.183946488294,68.183946488294,544650402.61174,53298072638.815,24891361642894
1,3,71.772575250836,71.772575250836,818893843.35365,64324760777.975,26691583460006
1,3,75.361204013378,75.361204013378,1228771032.7198,78764609617.702,28573609751858
1,3,78.94983277592,78.94983277592,1840434851.3801,97832474750.469,30541913502662
1,3,82.538461538462,82.538461538462,2751945653.9785,123170608655.51,32600710411579
1,3,86.127090301003,86.127090301003,4108521630.8803,156993784379,34753785454916
1,3,89.715719063545,89.715719063545,6154070789.7944,202738312333.33,37007152803188
1,3,93.304347826087,93.304347826087,9300929707.8454,265646577074.42,39366937887944
1,3,96.892976588629,96.892976588629,14022355709.346,350655954328.86,41826632399993
1,3,100.48160535117,100.48160535117,21093327693.742,465456129242.98,44384171135718
1,3,104.07023411371,104.07023411371,31665357854.052,620269375358.6,47034327693174
1,3,107.65886287625,107.65886287625,47447539139.683,828611128739.7,49767527726162
1,3,111.2474916388,111.2474916388,70973902096.717,1108240263315.6,52568277995980
1,3,114.83612040134,114.83612040134,105997932331,1482323857575.7,55413101197393
1,3,118.42474916388,118.42474916388,158236031542.12,1981862204259.4,58267576568083
1,3,122.01337792642,122.01337792642,239296007822.05,2664056501422.1,61073273742271
1,3,125.60200668896,125.60200668896,360969886836.45,3568359565783.1,63757288823856
1,3,129.19063545151,129.19063545151,543268023374.16,4758415296957.9,66220725728034
1,3,132.77926421405,132.77926421405,815931098730.53,6311251033705.7,68330814796470
1,3,136.36789297659,136.36789297659,1223111879307.4,8317024368353.5,69911779556859
1,3,139.95652173913,139.95652173913,1830290122845.9,10876116610312,70734150305776
1,3,143.54515050167,143.54515050167,2734478106374.3,14091363949454,70502848749359
1,3,147.13377926421,147.13377926421,4079271921692.8,18051821471712,68844917240056
1,3,150.72240802676,150.72240802676,6155801992626.3,22861905093202,65099869034536
1,3,154.3110367893,154.3110367893,9291089670448,28380752879762,58764138713943
1,3,157.89966555184,157.89966555184,13990515348057,34269552556597,49208505196465
1,3,161.48829431438,161.48829431438,19023025932574,39446815709490,38987276796493
1,3,165.07692307692,165.07692307692,22755035450047,43620226017573,31080566785340
1,3,168.66555183946,168.66555183946,24454264451802,47019349798122,26658962276739
1,3,172.25418060201,172.25418060201,25577914276457,49961372805690,23407265949834
1,3,175.84280936455,175.84280936455,26191495751918,52439133876981,21237883951189
1,3,179.43143812709,179.43143812709,26416019415255,54210953153178,20163273335808
1,3,183.02006688963,183.02006688963,26568254157903,55711608532389,19398361444781
1,3,186.60869565217,186.60869565217,26654633666309,56950143118021,18926961923061
1,3,190.19732441472,190.19732441472,26714069958800,57858520122656,18743362540955
1,3,193.78595317726,193.78595317726,26779272622448,58637323079477,18647867610490
1,3,197.3745819398,197.3745819398,26850709678045,59306088298350,18624986866089
1,3,200.96321070234,200.96321070234,26939517961049,59847593834777,18669321620344
1,3,204.55183946488,204.55183946488,27039529282801,60333888017780,18735659884148
1,3,208.14046822742,208.14046822742,27148200016335,60779252552392,18817313834424
1,3,211.72909698997,211.72909698997,27268008874194,61179159567301,18911702225530
1,3,215.31772575251,215.31772575251,27393695468645,61556343956238,19009863926786
1,3,218.90635451505,218.90635451505,27523150972983,61918569893865,19110011225610
1,3,222.49498327759,222.49498327759,27656526407485,62264179663962,19211041014825
1,3,226.08361204013,226.08361204013,27791640318123,62599541622106,19311490363397
1,3,229.67224080268,229.67224080268,27927538030518,62928643541927,19411329637863
1,3,233.26086956522,233.26086956522,28063889528858,63250487108013,19510043618506
1,3,236.84949832776,236.84949832776,28199841604325,63566331491627,19607368852463
1,3,240.4381270903,240.4381270903,28335305272851,63878568631702,19703759992259
1,3,244.02675585284,244.02675585284,28469945518475,64186465985856,19798933240892
1,3,247.61538461538,247.61538461538,28603206322641,64489552518526,19892634702675
1,3,251.20401337793,251.20401337793,28735510014917,64789759750759,19985435889867
1,3,254.79264214047,254.79264214047,28866622359959,65086590381878,20077171141334
1,3,258.38127090301,258.38127090301,28995895055363,65378746220401,20167422051585
1,3,261.96989966555,261.96989966555,29124047791196,65668186053340,20256813355516
