x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,group13,group14,group15,group16,group17,group18
1,3,0,0,1435.5958923587,104246.65947783,203936.24811577,42056.540543641,65360.328750253,55446.750550041,142908.18878298,155068.17670967,7852429.2893205,794316959.58099,7878909180.5787,62327625036.8,145242963379.77,136724795316.39,125312231168.49,115498609607.51,25650192113.368,8751359647.4777
1,3,3.5886287625418,3.5886287625418,2562.7478828055,264121.24810606,701297.47623691,147156.78075413,229672.03638812,195020.27552962,503082.90674506,544222.66318598,25516348.249029,2583451524.8091,25763182391.483,204984624596.09,481981056252.51,461164975897.99,435086462071.8,411035504720.27,88613110371.933,31342460929.902
1,3,7.1772575250836,7.1772575250836,4210.94968239,472444.43200628,1327025.7883835,279339.31137437,436659.34470268,370979.9338847,957435.84361678,1031657.0666651,43421653.990572,4385793496.3753,43793436197.813,348814728870.56,821287956195.08,787557656828.29,745701767283.73,706708609843.04,151862290151.17,53945418196.705
1,3,10.765886287625,10.765886287625,6408.8118119236,732100.25455131,2089606.3522575,440387.08492838,689093.64774663,585675.23360343,1512002.5530894,1623654.7286726,61579599.736485,6201633171.9418,61971418430.161,493828798868.97,1163193843469,1115952225986.5,1057250757175.2,1002632344347.7,215409680145.52,76568553055.842
1,3,14.354515050167,14.354515050167,10598.889501843,1184866.924527,3393517.442701,715388.73614583,1119752.3745177,951855.76503371,2457052.0459561,2622611.4903387,80590100.907826,8052675651.6466,80487120377.764,641444797049.35,1511022290984.8,1449778571433.1,1373648352507.9,1302837802417,279919004448.8,99506782764.253
1,3,17.943143812709,17.943143812709,16997.771414995,1845603.3116005,5285101.214729,1114144.0531107,1743829.5396692,1482288.2657954,3824979.7631006,4060951.970848,100407603.77648,9929492665.7353,99248350135.491,790997355728.22,1863379924801.3,1787917833287,1694097726522.9,1606846088947.1,345244125176.68,122732641593.86
1,3,21.531772575251,21.531772575251,25713.990489525,2722610.7053032,7787606.4265723,1641544.9671968,2568956.8565748,2183440.008532,5632355.7208311,5955822.9440463,121048195.76024,11831532325.434,118249845165.98,942446637138.94,2220176956684.9,2130288057665.2,2018525726376,1914593015172.6,411371296158.79,146241568516.63
1,3,25.120401337793,25.120401337793,42064.943638569,4285704.5504378,12225262.365216,2576389.1983318,4030650.1328291,3424934.287064,8829507.358874,9293518.6115392,144075584.91634,13791596345.316,137803989587.86,1098283374889,2587293082016.6,2482545232781.4,2352307628524,2231195475845.4,479398595397.68,170425310403.19
1,3,28.709030100334,28.709030100334,67521.409951567,6625250.3424667,18842843.701467,3970038.0749299,6208750.1185812,5274296.4010605,13588007.463161,14250641.0595,169575070.37731,15795803145.502,157772300579.62,1257410303059,2962155135712.5,2842231804877.3,2693126658547.2,2554469985212,548858817244.51,195118385490.97
1,3,32.297658862876,32.297658862876,102498.23854986,9764764.2154549,27702977.884027,5835613.4857913,9123608.4177607,7748705.779523,19951412.516348,20871732.112814,197575809.58923,17841431790.423,178127025833.64,1419606277816.2,3344242515472.3,3208848627871.9,3040510256377.2,2883968797684.6,619655869216.27,220286647999.72
1,3,35.886287625418,35.886287625418,166515.38433746,15249507.905377,43109917.199733,9078427.8056406,14187452.059537,12045537.501718,30989526.94962,32334401.179038,232537954.69483,19975526670.698,199287197985.06,1588193347510.4,3741376406645.4,3589899112726,3401567982005.3,3226435638492.4,693238747359.24,246445248530.7
1,3,39.47491638796,39.47491638796,267926.85385061,23591926.824808,66443020.966913,13987754.979397,21849575.033466,18544466.105418,47667396.488029,49629991.013783,275537070.42582,22180991327.44,221066338603.05,1761680187374.1,4150042590214.8,3982011373320.7,3773105187733.3,3578840903985.1,768956686709.94,273362858531.92
1,3,43.063545150502,43.063545150502,408318.17578674,34856146.515259,97860483.636621,20596507.648651,32160485.694417,27287782.141307,70089841.410782,72863649.422549,326638058.22493,24451252015.889,243397137045.4,1939529796197.2,4568975885166.9,4383971426078.5,4153971581076.2,3940093545735.1,846575271860.28,300956144407.8
1,3,46.652173913043,46.652173913043,658990.41899529,54089308.95779,151222767.85013,31816458.383877,49654285.277215,42114596.419467,108064574.37401,112156034.28895,399222591.38392,26854788616.649,266800974851.85,2125840088765.4,5007812335314.5,4805019194207.7,4552919189632.7,4318492699447.2,927877209745.75,329858858391.84
1,3,50.240802675585,50.240802675585,1062875.1351919,83783611.705134,233163065.42328,49037314.727749,76486187.018025,64844068.464165,166201402.87282,172227860.21666,499046511.70308,29378537226.974,291072371372.75,2318947095609.1,5462623987564.5,5241383039789.4,4966372826685.8,4710646241306.6,1012133463644.4,359811830568.51
