x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,group13,group14,group15,group16,group17,group18,group19,group20,group21
1,3,0,0,1148.5285314566,71478.713680309,34158.217362355,69688.445725849,24158.343643589,37710.889365388,32021.131857892,36219.579710713,41309.415489041,47032.636617632,79157.450641152,32812590.595628,430959246.06041,11447973236.266,91965062831.497,182667267035.56,254651772573.96,59313649948.251,40720592781.428,6853689207.0791,2240051816.3768
1,3,3.5886287625418,3.5886287625418,2042.747434644,181242.98972757,113272.98618943,243191.83363953,84817.118087805,132681.3518422,112756.31205366,127581.34928302,145515.58873571,165732.02112832,266279.97023298,106418969.18563,1401037946.355,37362715928.499,301558640803.05,603480555624.68,856298290102.33,207654094004.13,148460606062.33,25675384660.13,8643900377.8404
1,3,7.1772575250836,7.1772575250836,3346.122456057,324336.94226002,212171.67280335,461679.16111673,161304.5198277,252608.19707053,214773.45928988,243075.30186607,277282.25993112,315783.39621706,476726.96959904,180479304.41391,2376896582.9319,63439360156.219,512466335400.7,1026755729169.4,1460210776464.4,355723578651.45,255428679360.02,44303282465.76,14951911729.043
1,3,10.765886287625,10.765886287625,5080.9787970943,502749.41716551,332257.78161686,728132.89263395,254659.50749596,399114.37855602,339451.16919166,384260.61544172,438386.91069555,499207.22041215,711982.45762698,255006748.7661,3358607147.6948,89678969403.75,724692972792.37,1452503276161,2066458205895.8,503580397973.16,361696044682.82,62752640504.457,21171020848.633
1,3,14.354515050167,14.354515050167,8375.2595773422,814179.18020271,539141.82253066,1184602.345578,414506.96372036,649924.47632765,552885.68711472,625947.25244843,714157.98681842,813017.56571008,1043567.1986896,330855806.24396,4353787410.5289,116262359409.92,939576150246.03,1883278515098.9,2679419437315.4,652974576307.72,469007730282.19,81371856713.356,27452662415.944
1,3,17.943143812709,17.943143812709,13389.933107354,1268969.1317396,840676.11386713,1848392.9186954,646856.87130416,1014337.4725095,862915.43247475,976938.65956245,1114566.2870961,1268473.7263306,1479259.4226181,407762440.70946,5358486184.2673,143091146002.8,1156421961748.8,2317961387038.3,3297908225774.9,803709458078.2,577279399411.87,100157277183.8,33790351056.423
1,3,21.531772575251,21.531772575251,20208.07728808,1872866.1364597,1240677.0809001,2727873.8615526,954634.96455607,1496930.6557008,1273426.8580007,1441625.6814776,1644610.4314407,1871247.10104,2023158.2252704,485722206.92035,6372494670.4278,170160085831.13,1375190649503.6,2756475792376,3921820739111.9,955760632980.53,686493939470.72,119105981961.49,40183106665.741
1,3,25.120401337793,25.120401337793,32947.882662845,2950123.4156401,1953582.3387276,4292904.8995775,1502138.8770562,2355026.7539763,2003129.0240899,2267381.9885993,2586232.8959242,2941604.8876593,2909540.4908868,566373750.25709,7407846306.8586,197781659414.53,1598416395335.1,3203916521826.4,4558425191379.8,1110903449631.8,797928438138.7,138439764584.22,46705795317.592
1,3,28.709030100334,28.709030100334,52718.22816834,4563568.5208416,3020782.7128529,6633561.157108,2320814.5998631,3637746.1567467,3093681.6360316,3501214.6258265,3992869.6311046,4540078.9776109,4181806.9556028,649448556.04022,8459333216.1409,225816532780.6,1824977631796.4,3658041408883.1,5204538463485.8,1268363429960.4,911027216612.04,158062290180.93,53325898895.693
1,3,32.297658862876,32.297658862876,79830.159293129,6729568.021512,4453026.2696909,9773120.4382084,3418780.514234,5357755.262664,4555819.1454228,5155227.5062799,5878269.884786,6682230.078692,5851142.5764972,734903052.53246,9525923142.2872,254236678359.55,2054647833975.9,4118396494912.4,5859514804828.7,1427983226027.1,1025677267586.3,177953953420.26,60036802936.875
