x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,group13,group14,group15,group16,group17,group18,group19,group20,group21
1,3,0,0,1399.1901731773,101507.90358154,48352.284350527,98604.576840559,34099.533786655,53206.264646063,45202.051451229,51086.846018628,57807.008688722,65827.955354288,47782.098083859,415221.99367086,12288272.046417,433059605.02052,7762085743.8443,61356671008.488,276477815615.72,122503129794.62,112931789300.08,25087647841.974,8561682425.3199
1,3,3.5886287625418,3.5886287625418,2496.5701276672,257176.45033411,160305.88394267,344073.15825007,119699.19214003,187168.51659229,159109.12309641,179877.71747164,203613.84798012,231822.96018787,168193.38249817,1389490.7321413,39952796.737039,1410297105.7242,25392623027.728,201986395391.46,924725906574.28,425125839354.13,401826172064.23,86663673091.956,30662482856.046
1,3,7.1772575250836,7.1772575250836,4101.3274099678,460034.77702039,300184.61575126,653026.78503376,227582.0568064,356246.92439183,302970.61704035,342594.97242375,387835.21532809,441474.99623146,320148.52055746,2470321.2872976,67878056.57451,2395270564.4263,43171442519.639,343804561441.36,1577426322105.2,728532160022.42,690828807145.8,148516274522.1,52773956792.506
1,3,10.765886287625,10.765886287625,6241.3513618506,712893.37347789,469967.71729078,1029670.5917579,359209.32019853,562723.4442898,478725.81716808,541431.04520626,612952.26885255,697608.77063086,505695.52702562,3664356.1417087,96072127.144128,3388109964.0976,61099984200.725,486819253861.24,2234655750029.4,1032815393431.5,980053002770.41,210657292543.38,74904279117.271
1,3,14.354515050167,14.354515050167,10322.354501712,1153893.8873489,762202.73165155,1674340.802582,584392.92726726,915906.21703231,779368.0115636,881573.51197533,998022.99471835,1135699.1539466,822961.24538681,5293653.0804419,125043614.77868,4400160063.4573,79359774512.231,632367259220.58,2903007675945.9,1341862800594.9,1273466937932,273738108336.91,97342298472.425
1,3,17.943143812709,17.943143812709,16553.839001053,1797485.8338403,1187862.9520708,2611193.2597653,911497.32401419,1428716.0572366,1215774.0965811,1375215.945389,1556826.3706117,1771474.1175678,1283321.0956745,7390073.5009132,154662181.00327,5426085131.2023,97860436299.645,779815969016.91,3580019448752.6,1654872697989.8,1570600020771.6,337616705394.76,120061631053.76
1,3,21.531772575251,21.531772575251,25041.663931893,2651757.9913745,1752307.3570455,3851976.9175211,1344619.2662495,2107559.3221994,1793384.5754252,2028496.2017813,2296284.2969636,2612770.0705227,1892427.2057646,9971745.1198156,184929345.13583,6465592309.8486,116596891411.11,929126978783.81,4265523148952.5,1971772777733.5,1871389040889.1,402279600820.51,143057807822.06
1,3,25.120401337793,25.120401337793,40965.90864406,4174410.8198556,2757485.0419288,6058135.382636,2114462.0308063,3313600.8774674,2819241.554351,3188352.7402371,3608663.0595225,4105293.7208893,2972578.800565,14085596.182763,216915895.99182,7536407573.7993,135876960194.74,1082756095044.5,4970821229314.1,2297807523906.1,2180831314191.1,468799975958.34,166713842168.5
1,3,28.709030100334,28.709030100334,65757.900115623,6453490.7824956,4261254.5468361,9355570.0266032,3264869.9085551,5115308.2340412,4351444.621759,4920331.5770042,5567959.6098055,6332859.7311371,4584183.6361894,19919394.796198,250514982.02848,8631040706.8231,155564739310.58,1239625528966.7,5690987013020.7,2630712385599.9,2496791442105.4,536720835532.72,190867841091.82
1,3,32.297658862876,32.297658862876,99820.932376936,9511894.1748279,6278613.1932395,13776743.355936,4807135.1442813,7530289.6403825,6404917.2129255,7241241.1985455,8193136.4517006,9317017.772223,6742841.1672239,27521543.979139,285711782.05026,9748008464.9663,175632909918.88,1399517563002.6,6425021553196.6,2970025987364.2,2818831986292.5,605948255006.48,215486418993.33
1,3,35.886287625418,35.886287625418,162157.98370007,14854895.910641,9800797.8884255,21487547.862212,7496291.1479563,11739664.840443,9983223.7359156,11284474.116474,12765321.776358,14513454.907704,10501234.3263,40277918.757964,325075323.85097,10912542230.869,196493981118.95,1565704635842.1,7187940105411.4,3322688849444.5,3153540415594.7,677898354237.08,241073208162.7
