x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,group13,group14,group15,group16,group17,group18,group19,group20,group21,group22,group23,group24,group25,group26
1,3,0,0,10.404889031209,1003.8695072963,11499.728010116,13539.771338994,14164.683270699,18869.902698557,9378.9672340408,10733.301902779,17198.12808202,14870.2963053,17123.452676664,19882.77488793,23003.979289025,17381.81018441,146684.99151204,19981162.481687,432631346.40059,11494929520.74,92360566437.09,183525582971.19,165359730772.19,90393982997.171,59542970380.1,40898851077.778,6884484901.0753,2250606996.5078
1,3,3.5886287625418,3.5886287625418,17.691308866732,1796.0918179479,25635.286068079,40139.340481928,48236.324773597,66555.640862819,33277.884433611,38183.771445855,61258.284049388,52997.633502436,61039.35073074,70872.22626253,82033.203392394,61840.804731067,481866.88018594,64786611.957677,1406411369.0098,37512345210.894,302779488540.68,605965065599.82,552191209055.47,307990988868.05,208695466205.49,149198396029.43,25803300480.823,8685871846.2725
1,3,7.1772575250836,7.1772575250836,29.184251406798,2955.6832600098,45038.598877433,74877.693611473,92296.56725158,128406.48717897,64312.46765271,73864.596839362,118576.53675186,102614.75919925,118201.73244743,137249.61851531,158871.70955781,119414.11000724,833177.48808495,109862856.75254,2385925630.1836,63690100039.815,514498175834.11,1030846942869,940838675455.67,526050994939.24,357593844286.97,256735770311,44529674148.296,15025464449.353
1,3,10.765886287625,10.765886287625,45.128846969164,4502.9340400131,70028.895370198,118323.05854558,147054.402868,205402.78140705,102972.8521262,118338.0391008,190054.55496763,164501.54410548,189508.37813069,220056.67506783,254724.55623256,190988.47800998,1201648.3029827,155216170.96682,3371247521.7245,90029379604.187,727522811198.24,1458184579053.2,1331329200032.4,744615156229.96,506294603576.38,363581327163.26,63078740605.29,21276305936.988
1,3,14.354515050167,14.354515050167,77.654666037622,7458.9645161762,116214.61193243,197153.85500586,245648.70699218,343681.99020614,172373.98355747,198160.35818823,318332.33206298,275558.31287186,317456.0543631,368619.48667299,426659.5149598,318565.90542361,1636916.7358347,201302584.34802,4370001866.1893,116713777788.91,943224541835.88,1890614161156.2,1726208282478.7,965502852725.31,656501460603.73,471458786594.11,81795898786.693,27589505053.305
1,3,17.943143812709,17.943143812709,129.50554509879,11978.346304367,185993.55529442,315846.58320755,393810.30025031,551209.24797723,276490.43016826,317873.43963998,510648.85718178,442019.4061059,509193.81017905,591203.0098338,684203.65963501,509138.18980554,2145676.3046011,247953807.30114,5378240679.0241,143644554956.91,1160897112162.3,2326965206018,2124646908251.2,1188371956729.3,808050586847.9,580296878249.82,100679360792.62,33958794448.309
1,3,21.531772575251,21.531772575251,201.85611536124,18138.383677707,280496.02736383,476320.80621627,593931.0900823,831322.88991546,416994.52211749,479396.86083917,770079.93111828,666542.02341484,767776.35081494,891346.20319388,1031443.1636099,765708.06951952,2731221.4622536,295165150.46249,6395751654.6607,170816396622.72,1380500180750,2767160795743.8,2526577722600.6,1413186114148.1,960917960016.41,690078812791.35,119726263378.1,40383210477.387
1,3,25.120401337793,25.120401337793,344.84884896587,29710.460370989,456053.29054216,773909.61565134,964635.42950604,1349694.4360295,676920.50756462,778110.56395028,1249650.7539275,1081456.2657803,1245487.4629727,1445665.0527403,1672534.5836445,1238437.5756254,3565379.1548409,343774508.27848,7434456773.9057,198542227738.56,1604571810995.7,3216304922691.9,2936673296048.7,1642564610312.7,1116887701539,802087926298.26,139159473206.71,46937953821.807
1,3,28.709030100334,28.709030100334,577.02912177049,47743.756199679,727370.43973766,1233355.8733631,1536608.2101208,2149013.6623746,1077632.8412608,1238515.5165766,1988567.5494803,1720596.9085318,1981177.4080608,2299108.3116792,2659299.1864047,1965366.1688453,4689128.3991471,393610205.93172,8489120316.0887,226682171562.99,1831986697773.2,3672149013596.4,3352885594990.5,1875364089695,1275183466349.2,915767384705.36,158882472690.91,53590443911.976
1,3,32.297658862876,32.297658862876,903.97536421757,72534.062971769,1098518.3408616,1861481.738642,2318288.8082309,3240996.6305051,1624990.7287742,1867326.5399317,2997565.2533683,2593221.7460293,2985468.4324504,3463955.5018769,4005880.8054592,2956869.8949072,6113764.436005,444644443.96628,9558706474.325,255208130562.57,2062517778035.7,4134238062431.2,3774799275028.2,2111352283540.6,1435647342369.7,1031003798522.1,178875590905.64,60334045483.701
