x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12
1,3,0,0,145961.35355594,167172.72684698,90433.615811631,139377.11269053,153443.65652138,166659.07012666,10804769.915694,1098208328.5795,70205388134.515,269515347213.2,229342138451.79,32760208400.135
1,3,3.5886287625418,3.5886287625418,358248.58046361,566789.43382733,315029.9236209,487824.68982834,537681.61119896,581976.56980894,35098154.113397,3575007925.8673,230940794852.57,901714643520.2,805122375027.98,114153492273.67
1,3,7.1772575250836,7.1772575250836,631696.56450266,1061890.660354,594062.92519595,922042.98499331,1017083.914736,1095697.7446849,59684393.404862,6071539607.1436,393046635451.3,1538284217833.5,1381690035396.4,195809908808.46
1,3,10.765886287625,10.765886287625,969816.9686649,1658847.7499941,931067.7064971,1447495.5874223,1597674.9955126,1714033.8262577,84575414.110722,8588109228.3356,556531429053.36,2179294449860.8,1959250564617,277749793130.68
1,3,14.354515050167,14.354515050167,1547176.9531157,2660568.8824323,1495411.322496,2327405.6146306,2570223.7334099,2737027.2011145,110440059.8313,11152775998.354,722909212306.45,2831050069293.7,2545526403204.6,360902781676.86
1,3,17.943143812709,17.943143812709,2377607.0992153,4096878.9944096,2304006.2765207,3587584.0907117,3962816.2749409,4193275.1808548,137189219.58198,13752267948.471,891447946728.3,3491198304715.6,3139255215223.2,445103035727.39
1,3,21.531772575251,21.531772575251,3470331.6418275,5983865.7778779,3365917.7191368,5242139.7718226,5791013.1187571,6098785.0074912,164835327.07232,16385842368.53,1062104054035.3,4159577558316.4,3740304168516.3,530332855229.11
1,3,25.120401337793,25.120401337793,5382940.131592,9283035.5923984,5221916.0593259,8132910.8320803,8984320.9799766,9411611.3254229,195008663.6416,19097867002.918,1237670952947.4,4847159839636.6,4358588507937.5,618001017532.29
1,3,28.709030100334,28.709030100334,8206754.5508343,14152299.269526,7960854.4632649,12398075.778248,13694974.242023,14288034.322978,227718131.79808,21869308760.098,1416923675717.3,5549168319014.6,4989839832131.2,707506766318.25
1,3,32.297658862876,32.297658862876,11964965.743912,20631502.290059,11605112.758573,18072376.678175,19961195.928,20767250.669992,262976269.60591,24696394381.818,1599614583026.1,6264633627973.8,5633187222692,798726789020.47
1,3,35.886287625418,35.886287625418,18426704.175794,31767871.731824,17868021.033063,27821849.941883,30724985.135123,31879011.301057,305184038.9162,27641332184.256,1789466155429.2,7008124271098.9,6301729581198.8,893518448818.5
1,3,39.47491638796,39.47491638796,28126018.642122,48478400.714425,27264546.944468,42446006.353184,46866286.039533,48526643.778806,355237148.24923,30679756865.903,1984807238709.7,7773092827601,6989579615461.8,991047199927.21
1,3,43.063545150502,43.063545150502,41116877.471691,70854603.403354,39845835.231687,62023537.869405,68470801.360652,70797097.788711,413154914.10088,33802521436.907,2185036072924.3,8557182300878.7,7694617867111,1091012532780.8
1,3,46.652173913043,46.652173913043,62985830.447351,108505001.71117,61011371.212636,94947809.961911,104789889.42419,108205179.3268,491689824.28057,37095552186.916,2394742922760.4,9378334040705.2,8432968401489.6,1195699863127.6
1,3,50.240802675585,50.240802675585,96322550.607809,165865692.72266,93250142.625641,145076782.61339,160061785.49454,165094173.33595,596050708.16203,40536932328.03,2612062734829.1,10229227642558,9198044675573.6,1304174931829.3
1,3,53.829431438127,53.829431438127,141228166.13983,243100196.82198,136651800.41038,212543387.6405,234424867.59371,241597518.43077,726225393.84026,44109502349.923,2835871645282.6,11105461258845,9985888439225,1415876494550.6
1,3,57.418060200669,57.418060200669,215252172.86058,370317936.50384,208120216.0422,323578208.40608,356732727.47865,367326756.56371,920480547.64129,47943631454.881,3071586678530.6,12028139155352,10815449151986,1533488844518.7
1,3,61.006688963211,61.006688963211,329812992.08197,567002221.69602,318570520.78147,495052547.72202,545459934.96835,561151352.15168,1202271848.6994,52041383125.628,3317434418145.4,12990246711882,11680402080855,1656113635802.3
1,3,64.595317725753,64.595317725753,484977534.95341,833196003.59678,468011345.06774,726935436.50556,800516483.41638,822919073.73057,1571030929.1422,56373791154.461,3571570768688.6,13984563245277,12574254794594,1782830359710.3
1,3,68.183946488294,68.183946488294,735544001.20448,1262516215.003,708914501.15541,1100403215.0379,1210884757.4374,1243616167.4805,2142218857.9413,61178792734.093,3840197703488.6,15035042568270,13518463544458,1916673681926.9
1,3,71.772575250836,71.772575250836,1129143280.564,1935698408.425,1086394061.9642,1684855154.3833,1852141636.4306,1899993953.6471,3011356683.85,66552997899.5,4121959576147.8,16136100524675,14507939572675,2056915976640.1
1,3,75.361204013378,75.361204013378,1665069899.0074,2851054264.4372,1599399222.4862,2478367597.0298,2721806105.387,2789122959.9086,4173679419.5663,72446744076.973,4414052168126.9,17276771374254,15532827048203,2202160266711.6
1,3,78.94983277592,78.94983277592,2513222130.2431,4296712048.7189,2408964668.2038,3728756780.7922,4089883238.6889,4185355050.9084,5972663685.5364,79387759725.206,4723401910350,18483196062962,16616389990070,2355683244136
