x,y,z,id,group1,group2,group3
1,3,0,0,95810.601177021,2396225300.3879,621540438272.72
1,3,3.5886287625418,3.5886287625418,235379.32896378,7728096111.1778,2091540293555.8
1,3,7.1772575250836,7.1772575250836,415279.31779459,13088263536.719,3566440343727.8
1,3,10.765886287625,10.765886287625,637822.50613853,18477521406.45,5046447618567.6
1,3,14.354515050167,14.354515050167,1017995.3500831,23948245105.332,6543008869438.4
1,3,17.943143812709,17.943143812709,1565323.0920135,29483125273.191,8052886368820.3
1,3,21.531772575251,21.531772575251,2285976.6435259,35081243557.155,9575825085646.2
1,3,25.120401337793,25.120401337793,3549506.6979892,40831572472.07,11129255932451
1,3,28.709030100334,28.709030100334,5417490.7095241,46704570324.751,12705515509047
1,3,32.297658862876,32.297658862876,7905572.6834018,52694363215.019,14303050855086
1,3,35.886287625418,35.886287625418,12189932.804189,58948651622.594,15944724989808
1,3,39.47491638796,39.47491638796,18628718.404935,65436186025.72,17620033900102
1,3,43.063545150502,43.063545150502,27259025.425028,72141156675.427,19325238676000
1,3,46.652173913043,46.652173913043,41806720.909622,79327322988.837,21088099066045
1,3,50.240802675585,50.240802675585,64010582.141162,86993423845.944,22896873066658
1,3,53.829431438127,53.829431438127,93943360.043729,95103267345.569,24744664118459
1,3,57.418060200669,57.418060200669,143348932.92293,104179744471.14,26663521665791
1,3,61.006688963211,61.006688963211,219908716.91639,114350448029.19,28642101577824
1,3,64.595317725753,64.595317725753,323688657.70577,125530210515.47,30669269834742
1,3,68.183946488294,68.183946488294,491481267.54755,138847883970.42,32780514000648
1,3,71.772575250836,71.772575250836,755404990.50544,154869214655.98,34966456799424
1,3,75.361204013378,75.361204013378,1115069394.9607,173372588184.75,37210541539567
1,3,78.94983277592,78.94983277592,1684926745.4348,196909875574.27,39550230142361
1,3,82.538461538462,82.538461538462,2594545143.1983,227424032983.02,41979162898191
1,3,86.127090301003,86.127090301003,3840511979.9797,264283332971.46,44474164085820
1,3,89.715719063545,89.715719063545,5775863439.8404,313321286240.59,47071797085221
1,3,93.304347826087,93.304347826087,8910213771.8799,380588413005.56,49767780990577
1,3,96.892976588629,96.892976588629,13224886779.295,464194227589.85,52531496605408
1,3,100.48160535117,100.48160535117,19797732391.191,577282832726.24,55392638114670
1,3,104.07023411371,104.07023411371,30595795822.394,737530051000.32,58341783474524
1,3,107.65886287625,107.65886287625,45531581783.541,939202199031.12,61341677797470
1,3,111.2474916388,111.2474916388,67854295931.946,1210872814993.6,64402707117992
1,3,114.83612040134,114.83612040134,105046918704.81,1601040436876.4,67485168854253
1,3,118.42474916388,118.42474916388,156730562337.32,2092420331170.7,70551468619392
1,3,122.01337792642,122.01337792642,232543021950.46,2743440699845.7,73567777629480
1,3,125.60200668896,125.60200668896,360623453047.74,3676655110058.1,76391933759654
1,3,129.19063545151,129.19063545151,539407481907.85,4840756720152.3,79009153614020
1,3,132.77926421405,132.77926421405,796881953742.65,6343383325419.8,81295726167431
1,3,136.36789297659,136.36789297659,1237869281796.2,8453849688379,82823763650990
1,3,139.95652173913,139.95652173913,1856113772082.5,11022982507903,83673888529694
1,3,143.54515050167,143.54515050167,2730549238260.5,14211754746170,83562671461893
1,3,147.13377926421,147.13377926421,4248609558931.3,18437743199404,81378388860232
1,3,150.72240802676,150.72240802676,6385847314785,23278128367509,77510050612514
1,3,154.3110367893,154.3110367893,9355607304985.1,28853006211984,71451520118142
1,3,157.89966555184,157.89966555184,14580455583245,34931229696648,60808119301508
1,3,161.48829431438,161.48829431438,19156336491094,40234926600129,51131266759878
1,3,165.07692307692,165.07692307692,22466300528028,44367446402921,43530178619516
1,3,168.66555183946,168.66555183946,25277422408673,48214717090758,36822621997521
1,3,172.25418060201,172.25418060201,26153622822186,50955556357259,33580917839376
1,3,175.84280936455,175.84280936455,27029823235698,53696395623759,30339213681230
1,3,179.43143812709,179.43143812709,27157374565936,55246238692899,29007157105426
1,3,183.02006688963,183.02006688963,27281322374843,56790349062569,27684292360548
1,3,186.60869565217,186.60869565217,27261834122938,57744157689214,26996638347920
1,3,190.19732441472,190.19732441472,27203165985699,58536724055910,26482493587504
1,3,193.78595317726,193.78595317726,27136167363881,59092022466756,26155791061140
1,3,197.3745819398,197.3745819398,27063028900357,59472446573808,25967239639353
1,3,200.96321070234,200.96321070234,26997773876417,59776572754837,25824157210948
1,3,204.55183946488,204.55183946488,26946178595559,59948496480831,25759859526330
1,3,208.14046822742,208.14046822742,26897813377367,60104841494692,25702457956539
1,3,211.72909698997,211.72909698997,26866899903648,60177016097169,25682315488588
1,3,215.31772575251,215.31772575251,26835986429929,60249190699647,25662173020636
1,3,218.90635451505,218.90635451505,26817624627071,60277987483141,25655269181220
1,3,222.49498327759,222.49498327759,26799973398759,60304328563772,25649114806362
1,3,226.08361204013,226.08361204013,26787598127996,60315529912172,25645479655272
1,3,229.67224080268,229.67224080268,26777108863211,60321319233424,25642745055606
1,3,233.26086956522,233.26086956522,26768407747790,60322240212155,25640067860639
1,3,236.84949832776,236.84949832776,26761312161953,60318790041526,25637442207755
1,3,240.4381270903,240.4381270903,26754644063699,60313946694943,25634588042509
1,3,244.02675585284,244.02675585284,26748896389046,60306103700925,25631241867251
1,3,247.61538461538,247.61538461538,26743183309038,60298002380956,25627809238490
1,3,251.20401337793,251.20401337793,26737757773193,60287753904461,25623658024542
1,3,254.79264214047,254.79264214047,26732332237348,60277505427966,25619506810594
1,3,258.38127090301,258.38127090301,26726760281123,60265794565321,25614707398301
1,3,261.96989966555,261.96989966555,26721171626930,60253916930287,25609834064639
