x,y,z,id,group1,group2,group3,group4,group5,group6
1,3,0,0,167325.55892217,1171795.0222249,1254118678.9167,22541139833.285,924270992116.82,13403268238.309
1,3,3.5886287625418,3.5886287625418,410859.87002367,4039653.1248516,4067433152.2708,73896909054.619,3108020188712.9,50039349003.968
1,3,7.1772575250836,7.1772575250836,724749.06834427,7573674.5533403,6895922666.8205,125618672100.89,5299363665346.5,86223197528.807
1,3,10.765886287625,10.765886287625,1113036.7990445,11815192.012403,9739939463.0673,177704219236.48,7498595723792.2,121990890446.08
1,3,14.354515050167,14.354515050167,1776671.9530921,18770955.878775,12625061019.626,230404653362.34,9722549225403.5,158171549659.11
1,3,17.943143812709,17.943143812709,2731795.509434,28579185.691371,15541182034.304,283578877289.85,11966417330549,194676081259.97
1,3,21.531772575251,21.531772575251,3989077.1469079,41333456.810488,18487780105.694,337217713144.63,14229819111732,231498303270.54
1,3,25.120401337793,25.120401337793,6191479.1427979,63151410.920319,21506580139.628,391939678385.25,16538830330620,269062497560.17
1,3,28.709030100334,28.709030100334,9445148.7962866,94800676.292182,24582867823.194,447473234141.79,18881996636063,307182320491.59
1,3,32.297658862876,32.297658862876,13777081.889887,136461218.30811,27713790959.231,503763395285.41,21256996728298,345820007670.69
1,3,35.886287625418,35.886287625418,21230758.611724,206514356.43091,30967567920.051,561625229943.45,23698058655528,385532355376.67
1,3,39.47491638796,39.47491638796,32426031.254421,309594194.35603,34329333047.145,620687681469.27,26189486363072,426064001717.72
1,3,43.063545150502,43.063545150502,47426359.48464,445906370.13241,37791936528.74,680818257896.72,28725688290291,467323980028.12
1,3,46.652173913043,46.652173913043,72695670.332937,670010796.18064,41478689250.199,743014701108.26,31348283481630,509989243259.73
1,3,50.240802675585,50.240802675585,111240707.34407,1003807582.6545,45393107113.483,806865822109.97,34039738078159,553774493064.13
1,3,53.829431438127,53.829431438127,163183174.90638,1446702038.7532,49520319735.549,872126719454.58,36789728414318,598511781415.89
1,3,57.418060200669,57.418060200669,248863593.60204,2158384835.8203,54120395722.016,939971488712.14,39646423130802,644984378082
1,3,61.006688963211,61.006688963211,381552108.82358,3230244099.8068,59278429046.459,1010017128081.9,42592918518797,692917089107.37
1,3,64.595317725753,64.595317725753,561345154.9028,4656093920.1152,64961872358.804,1081866106867.5,45612517279411,742038294746.01
1,3,68.183946488294,68.183946488294,851864794.26169,6895513440.8681,71790166335.012,1156877667735.5,48758757854993,793217980049.25
1,3,71.772575250836,71.772575250836,1308535153.5944,10301857648.417,80144952229.997,1234787942003.8,52017744730137,846229359794.25
1,3,75.361204013378,75.361204013378,1930611271.7591,14840765239.647,89938852455.327,1314997231441.7,55364562796856,900667206230.27
1,3,78.94983277592,78.94983277592,2915687553.7019,21807748680.421,102732200631.87,1399094780252.9,58855991786112,957452537607.28
1,3,82.538461538462,82.538461538462,4487053704.3787,32494215711.472,119906904511.28,1487085764371.4,62482664836823,1016430457320.8
1,3,86.127090301003,86.127090301003,6638549173.9577,46741052808.704,141176568086.4,1578098224772.4,66209491119617,1077030543649.3
1,3,89.715719063545,89.715719063545,9978686184.004,68106119842.278,170482656172.01,1674078042915.3,70091957247328,1140148502714.4
1,3,93.304347826087,93.304347826087,15384481680.243,101084094802.89,212375213960.15,1775600780269.7,74123207236789,1205664672046.3
1,3,96.892976588629,96.892976588629,22822722958.522,145001388733.37,265823811924.83,1881395087853,78256427569821,1272819283539.7
1,3,100.48160535117,100.48160535117,34148257358.548,209302893259.74,340458782875.66,1994051607944.3,82535543493391,1342309874977.4
1,3,104.07023411371,104.07023411371,52741369739.552,308880702868.98,450134322403.47,2115366668672.4,86942449498223,1413817547161.5
1,3,107.65886287625,107.65886287625,78447657369.411,441034879804.16,591103262965.94,2243365431205,91419578927289,1486412613257.8
1,3,111.2474916388,111.2474916388,116849593901.34,629708715070.49,785426503026.36,2381803216212.6,95976404493014,1560210581940.6
1,3,114.83612040134,114.83612040134,180787346017.4,921478727942.77,1071490773963.2,2534926421233.7,1.0053553702502e+14,1633886572123
1,3,118.42474916388,118.42474916388,269595685135.82,1305923408810.6,1436070140334.1,2699204524542.2,1.0503966982778e+14,1706532512022.8
1,3,122.01337792642,122.01337792642,399806647223.79,1839823772023.6,1924600971567.9,2880090232727.7,1.0941656002078e+14,1776895698115.3
1,3,125.60200668896,125.60200668896,619632031222.85,2657709921251.2,2629143331519.4,3085345385657.2,1.1339388796049e+14,1840394646766.9
1,3,129.19063545151,129.19063545151,926335789339.83,3720484186961.4,3505528929108.2,3307492754455,1.1696057781855e+14,1896929027691
1,3,132.77926421405,132.77926421405,1367847238412.2,5149178781778.2,4631188340179.7,3552738311864.9,1.1987932609676e+14,1942513319573.7
1,3,136.36789297659,136.36789297659,2123488815690.5,7283291407157.7,6171021433840.5,3826440019293.9,1.2136590676977e+14,1964145671825.1
1,3,139.95652173913,139.95652173913,3182354279593.1,9979482154685.2,7990479411786,4111689181257.6,1.2161118698164e+14,1965162491720.6
1,3,143.54515050167,143.54515050167,4679404578092.7,13447859698492,10173509568556,4408258403201.2,1.2011026110509e+14,1937232475284.7
1,3,147.13377926421,147.13377926421,7276414486949.3,18306344800711,12793018154442,4681935974323.7,1.1503011835811e+14,1850374935022.9
1,3,150.72240802676,150.72240802676,10930880212486,24039746521945,15508982843827,4934202924624.9,1.0718300210496e+14,1717765143449.2
1,3,154.3110367893,154.3110367893,16006987753988,30839060290914,18277366382228,5157828069394.8,95777088878958,1526251531463
1,3,157.89966555184,157.89966555184,24930858285479,38483879901202,20157401537321,6398740815414.3,76580528020523,1077315560043.6
1,3,161.48829431438,161.48829431438,32487874782947,45078209428799,21584879471543,7502751871049,59619923153235,701923272585.91
1,3,165.07692307692,165.07692307692,37518626559705,50058796674490,22511595993654,8255642726557.8,47024168400302,470279682021.92
1,3,168.66555183946,168.66555183946,41673288733347,54598514391075,23442227448115,8810571064992.6,36124091072263,280895914445.45
1,3,172.25418060201,172.25418060201,42429752581477,57428176320843,24388044240361,8597637427160.5,31801249868695,255430608179.26
1,3,175.84280936455,175.84280936455,43186216429606,60257838250611,25333861032607,8384703789328.3,27478408665126,229965301913.07
1,3,179.43143812709,179.43143812709,42934714144091,61468907733165,25920675605041,8297570445365.3,25891054521913,214721833119.16
1,3,183.02006688963,183.02006688963,42678360149620,62672186339407,26505762168739,8211042624139.8,24316867276506,199527565760.46
1,3,186.60869565217,186.60869565217,42323370193900,63195434844914,26839485708311,8174938265096.9,23527285889365,192404504247.44
1,3,190.19732441472,190.19732441472,41941437601654,63532931586054,27104548867738,8152607189112.9,22952021371943,187486110917.16
1,3,193.78595317726,193.78595317726,41597089626099,63647562223119,27255252498797,8135343663602.9,22578571778783,184255215955.84
1,3,197.3745819398,197.3745819398,41280442751833,63597933195833,27321669388168,8121815089818.4,22353866436606,182268062912.24
1,3,200.96321070234,200.96321070234,40989669121773,63493499560413,27350461901122,8106097918350.4,22169391049071,180649467652.31
1,3,204.55183946488,204.55183946488,40743726414154,63294105234444,27314062144889,8086588533883.3,22054622651579,179669477481.15
1,3,208.14046822742,208.14046822742,40504720734499,63087198665504,27270415463079,8066111311781.2,21944245439141,178730232601.74
1,3,211.72909698997,211.72909698997,40303195206771,62839704108557,27187614279795,8040404948065.4,21857593413318,178011130949.76
1,3,215.31772575251,215.31772575251,40101669679043,62592209551610,27104813096511,8014698584349.7,21770941387495,177292029297.78
1,3,218.90635451505,218.90635451505,39922414083249,62335386396477,27004896264874,7985572642795.2,21688292590421,176615956604.55
1,3,222.49498327759,222.49498327759,39744419231699,62078035131223,26904010483030,7956253112275.7,21605870423927,175942319864.54
1,3,226.08361204013,226.08361204013,39575181151358,61822486561878,26799112016099,7925807796490.6,21522912655485,175266336956.16
1,3,229.67224080268,229.67224080268,39409073369677,61567582405464,26692779127457,7894960044233.9,21439763424456,174589515358.8
1,3,233.26086956522,233.26086956522,39246345027169,61315552418382,26586246244409,7863933658416.7,21356294822045,173910273060.33
1,3,236.84949832776,236.84949832776,39086650989111,61066103068014,26479533791946,7832746882493.2,21272539464951,173228857281.66
1,3,240.4381270903,240.4381270903,38928269643505,60818452729766,26373272571167,7801633542609.9,21188880133595,172548161080.68
1,3,244.02675585284,244.02675585284,38772714656287,60574675844886,26267982897421,7770678317879.8,21105427555278,171869014202.58
1,3,247.61538461538,247.61538461538,38617513453799,60331469229555,26162903769896,7739773741826.2,21022079906838,171190699479.04
1,3,251.20401337793,251.20401337793,38465252843180,60093002587035,26059574662799,7709290148006.3,20939604415723,170519301467.15
1,3,254.79264214047,254.79264214047,38312992232560,59854535944514,25956245555702,7678806554186.4,20857128924607,169847903455.25
1,3,258.38127090301,258.38127090301,38163438422980,59620534652978,25854771664629,7648825142811.3,20775855903428,169186183096.97
1,3,261.96989966555,261.96989966555,38014193300456,59387042595786,25753509344766,7618901000965.5,20694720013461,168525566390.7
1,3,265.55852842809,265.55852842809,37866965579850,59156824400499,25653658271085,7589379253256.7,20614616578861,167873313603.83
1,3,269.14715719064,269.14715719064,37720653259907,58928091727426,25554447553538,7560040092794,20534981623210,167224855964.23
1,3,272.73578595318,272.73578595318,37575730543991,58701574612105,25456200373848,7530982051179.3,20456092206624,166582456294.87
1,3,276.32441471572,276.32441471572,37432324631442,58477475858702,25359004930793,7502230861017.8,20378016573060,165946669120.5
1,3,279.91304347826,279.91304347826,37289694420382,58254600327538,25262341703916,7473636408218.1,20300362824052,165314314649.14
1,3,283.5016722408,283.5016722408,37149179036389,58035059717783,25167129480027,7445469274973.5,20223859276363,164691318898.01
1,3,287.09030100334,287.09030100334,37008832040700,57815783173217,25072032010560,7417336051665.2,20147447559173,164069070748.98
1,3,290.67892976589,290.67892976589,36871190076723,57600748637695,24978777984752,7389747566030.8,20072511030029,163458832266.62
1,3,294.26755852843,294.26755852843,36733548112747,57385714102173,24885523958944,7362159080396.4,19997574500885,162848593784.26
1,3,297.85618729097,297.85618729097,36598328538652,57174469059791,24793915033824,7335057226915.6,19923958740625,162249110037.28
