x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,group13,group14,group15
1,3,0,0,2014.8511015622,130499.89238432,255874.59068606,145122.71759138,161259.45672665,2708337.5078869,436581988.51567,24686915370.584,151202730177.75,300144029486.4,418298746236.56,97446282959.059,66876209634.527,11259813209.045,3688661744.2146
1,3,3.5886287625418,3.5886287625418,3554.6464432304,330449.92209197,879661.38129397,509318.8787252,567784.32502104,8866917.9577461,1416272076.9409,80500701955.141,495771176071.79,991542449187.85,1406566889701.5,341140274914.32,243817623410.05,42183383733.588,14232581535.976
1,3,7.1772575250836,7.1772575250836,5775.0609151991,590576.19039605,1663726.868393,967692.06974896,1080339.6911871,15258506.518825,2401520334.8447,136657227315.65,842485754124.8,1686969043751.9,2398531472450.9,584384814156.35,419487088577.64,72787705884.985,24618614640.615
1,3,10.765886287625,10.765886287625,8716.0185421129,914489.72025064,2618684.3914203,1526360.3963131,1705690.30485,21897117.695027,3392429584.136,193159173820.64,1191354648438.3,2386440795455.5,3394305544904.3,827275492309.83,594001532321.94,103097842065.07,34858166267.124
1,3,14.354515050167,14.354515050167,14349.037261594,1479274.0898781,4250206.0967071,2478412.4880166,2769597.4983843,29469538.882638,4397473110.2256,250404048034.19,1544572667739.6,3094132635052.9,4401050511033.2,1072677452003.8,770221121574.62,133685246401.4,45200040493.38
1,3,17.943143812709,17.943143812709,22984.546208829,2304174.6684262,6618579.2410321,3858785.7423699,4310528.1152419,38025719.586563,5412764912.9268,308177364949.29,1901004905364.1,3808217682555.5,5416835471841.3,1320272213015,948010279226.75,164544495911.29,55633787664.675
1,3,21.531772575251,21.531772575251,34764.650251194,3399584.1707272,9753065.1310418,5684440.8006911,6347349.0561454,47600666.259149,6438103178.9874,366467633246.73,2260586174398.7,4528571518597.8,6441490845763.3,1570019917464.9,1127341078260.4,195670824382.69,66157804193.342
1,3,25.120401337793,25.120401337793,56830.147953602,5353280.0316959,15315828.460129,8920789.4675138,9954886.3994217,60348210.201759,7486813758.6183,425944536217.62,2627465509223,5263531018826.5,7486907066435.8,1824825327026.3,1310302387225.2,227427155182.56,76894859732.023
1,3,28.709030100334,28.709030100334,91084.934194711,8278380.2939113,23614252.561343,13744405.832928,15327496.8538,76608913.784514,8553777993.0012,486308350637.7,2999805772397.2,6009426970778,8547877125507.7,2083421445484.5,1495985460827.1,259655884194.96,87791638413.806
1,3,32.297658862876,32.297658862876,138071.47390772,12204367.817086,34727167.459385,20200424.056856,22514748.177356,96470860.213646,9638006227.6294,547498928609.66,3377236013759.2,6765516460109.2,9623344530746.5,2345550810422.2,1684205449247.9,292324929617.17,98837292856.08
1,3,35.886287625418,35.886287625418,223791.02899556,19065116.616863,54058503.18114,31418203.163103,34990291.393847,126741575.11647,10760314488.014,610406380708.55,3765230775385,7542762975033.5,10728902393324,2615013912673,1877691247432.9,325907940549.87,110191967485.28
1,3,39.47491638796,39.47491638796,359282.11275755,29503202.303377,83343180.227681,48393497.450436,53850276.94972,169475243.13534,11915191342.142,674625217157,4161283823992,8336144820508.1,11857407401330,2890069650517.2,2075192668296.8,360187924116.43,121782295222.14
1,3,43.063545150502,43.063545150502,546615.35396696,43599466.095562,122781385.10067,71238443.686844,79215159.506871,224877652.17745,13100262357.219,740010703548.06,4564501821141.5,9143872271696.8,13006313770235,3170097520337,2276264162207.4,395087546810.39,133582129029.45
1,3,46.652173913043,46.652173913043,880412.32412701,67676085.61882,189789292.12251,110001653.71809,122200317.54401,314440246.58597,14351181537.124,807652499216.65,4981552665508,9979289825158.5,14194596120598,3459721631018,2484225819335.6,431183049962.14,145786302736.3
