x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,group13,group14,group15,group16,group17,group18,group19,group20,group21
1,3,0,0,1938.3853026348,128056.14756348,61108.253607949,124930.52457832,43238.87567342,67429.125875062,57234.449225687,64738.900335536,73933.704390943,84240.27399938,137476.64566014,55744921.587852,731122198.92706,18898512965.494,150514456420.48,298806922425.22,416442456920.99,97014444938.234,66580006523.477,11209958779.296,3672328321.8803
1,3,3.5886287625418,3.5886287625418,3453.0331711445,324645.4686053,202700.96371585,435984.28390266,151790.62704308,237280.36144047,201564.02045017,228097.93828983,260465.70465333,296724.71866682,463017.21521983,180805485.02479,2377469612.8466,61676935402.389,493534169198.5,987138261711.01,1400337544082.8,339631199100.88,242739582290.99,41996924647.456,14169666095.646
1,3,7.1772575250836,7.1772575250836,5664.4557496764,581004.43626648,379733.53070205,827766.36655011,288698.5350077,451799.17050572,383965.09356071,434599.03050602,496165.48562041,565160.64361373,830353.97267507,306648746.30029,4033553323.9627,104722362529.55,838703761676.84,1679497549512.5,2387934058724.6,581805402359.09,417636288645.03,72466646052.406,24510016470.4
1,3,10.765886287625,10.765886287625,8610.7471515611,900695.22861841,594718.14765404,1305623.6028197,455821.75671284,713887.7628524,606901.3214719,687026.48270918,784205.10155329,893151.29539077,1242129.0398867,433297298.60875,5699499479.7,148036563461.7,1186031150299.5,2375901815901.8,3379344928479.5,823632329440.75,591386614928.92,102644088648.36,34704738943.095
1,3,14.354515050167,14.354515050167,14215.316867957,1458769.6301844,965118.67692225,2124289.8850727,741989.50288348,1162570.9507545,988526.45263664,1119015.1517143,1276845.4608096,1453744.4451585,1825918.0316515,562221583.94553,7388306850.6856,191918256472.72,1537705342563.6,3080527422740.8,4381731813264.6,1067972454125.3,766843869786.87,133099189091.37,45001878186.616
1,3,17.943143812709,17.943143812709,22755.978485464,2273610.4806967,1504895.2674666,3314613.2905679,1157898.2480568,1814402.1306164,1542819.3269643,1746436.6743964,1992475.3883089,2267285.2736757,2594880.1097881,692967894.4946,9093280662.5961,236205009130.62,1892590819682.9,3791543157015.5,5393155535726.5,1314504734989.2,943870271310.12,163826065937.72,55390867185.91
1,3,21.531772575251,21.531772575251,34375.388092778,3355482.5355218,2220858.6066438,4891554.4100002,1708768.5205088,2677542.1918765,2276703.8527984,2577105.0765323,2939983.6582958,3343938.9240242,3556464.1582227,825530307.84431,10814066934.412,280888161503.88,2250622522448.6,4508824572438,6413446354318.4,1563189262884.3,1122437851459,194819945394.24,65870099755.91
1,3,25.120401337793,25.120401337793,56115.841524473,5284688.4005357,3496441.4226477,7696727.6994652,2688365.0362487,4211751.4259491,3580756.6151347,4052725.9168458,4622922.6720142,5256230.7086526,5129912.2458076,962759853.22565,12571113914.907,326483422402.92,2615946795739.2,5240703130383.7,7454487024492.1,1816928931633.9,1304634137016.4,226443517687.15,76562266274.001
1,3,28.709030100334,28.709030100334,89890.938671838,8173144.0940486,5405308.0261296,11890720.431309,4152650.0152937,6504385.1827158,5529027.8853658,6256772.1367261,7135887.2795032,8111259.5013183,7392435.6509718,1104217023.1438,14355592272.213,372760824814.23,2986728489088.2,5983512145119.5,8511073417495.4,2074457375900.2,1489550813447.4,258539251227.45,87414075663.765
1,3,32.297658862876,32.297658862876,136238.65746354,12049980.932074,7966570.4097273,17514988.930821,6116055.4622047,9577943.9830454,8140579.255708,9210751.8202931,10503357.409274,11936656.040102,10363764.158552,1249830170.0692,16165752606.742,419674116694.21,3362596963673.4,6736509240129.8,9582149765322.3,2335517305263.7,1677003152966,291075085248.36,98414687669.577
1,3,35.886287625418,35.886287625418,220854.46998523,18825050.123175,12439878.722408,27327404.954688,9540698.0034057,14937089.536731,12692985.489562,14358780.313725,16370590.065227,18599347.615007,15403802.165358,1406004833.1763,18030240683.001,467907989761.29,3749023978924.4,7510653207122.6,10683302782579,2603907681313.6,1869718962093.1,324524480965.64,109724183083.43
1,3,39.47491638796,39.47491638796,354619.61220086,29132982.274301,19242107.764648,42233848.875491,14742062.303907,23073949.754586,19603271.357772,22171133.959223,25271751.76061,28703746.860372,22950168.984247,1573263104.5491,19937796014.141,517150498027.36,4143505361323.4,8300926239724.4,11807394620270,2877888725121.3,2066449000577.6,358670609527.82,121269250318.36
1,3,43.063545150502,43.063545150502,539569.8397918,43053554.835403,28425170.720757,62345184.075682,21758602.966196,34048156.270613,28921745.021716,32704290.247538,37270665.407377,42321518.698159,33054103.955755,1751445875.7969,21884219042.62,567290294500.08,4545148378944.4,9105539728917.4,12951881052884,3156840309733.8,2266747988115.5,393436184050.39,133023758114.24
1,3,46.652173913043,46.652173913043,869080.55594796,66829933.624402,44099893.649461,96634070.096498,33718351.894991,52746616.036131,44794499.922271,50640597.247042,57695783.828599,65492108.343274,50106986.079847,1957256753.3289,23909194386.054,619165292112.4,4960618897939.1,9937835954060.7,14135734291980,3445386031991.2,2473935670856.7,429397388565.84,145182520683.81
1,3,50.240802675585,50.240802675585,1398872.1229546,103549487.93192,68292125.634319,149493810.81892,52150622.824132,81553324.900922,69240771.779091,78256597.596304,89133976.445842,101144042.34793,76233272.392642,2196526208.7343,26002965580.932,672429846967.56,5387124581699.7,10792215145528,15350986156096,3741583455916.6,2686617198073.1,466312111093.03,157663679153.02
1,3,53.829431438127,53.829431438127,2136635.2826407,153410774.18247,101129137.83895,221187648.55679,77146017.068273,120607082.75498,102376525.66263,115681057.76569,131729040.28303,149437370.03246,111547270.2546,2469010052.5726,28157794961.1,726878272478.62,5823016246767.6,11665373123173,16592936583768,4044286993752,2903969983979,504037576181.23,170418960101.87
1,3,57.418060200669,57.418060200669,3419873.7848658,236662969.34685,155918539.3167,340655791.17902,118785097.3467,185636779.77029,157533323.59259,177954302.45142,202578941.5531,229734293.27769,170113787.90056,2823088790.7927,30435291207.554,783496416962,6276040709663.5,12572791850554,17883588009513,4358857469568.2,3129842704050.1,543241730339.82,183674207809.99
1,3,61.006688963211,61.006688963211,5517634.7634157,367109924.85256,241703439.99475,527439320.56626,183864319.40772,287222850.09889,243662998.60212,275155841.94178,313116461.17832,354946937.92838,261290141.9267,3287962029.8063,32838740986.568,841963323298.87,6743525806958.7,13509093204378,19215277782485,4683425940171.2,3362892968962,583691536549.94,197350634857.86
1,3,64.595317725753,64.595317725753,8458947.2865132,545149417.40476,358728711.54359,781995476.59962,272536779.37122,425589293.53547,360945495.28746,407476390.23838,463542846.04041,525283092.78367,385215253.74804,3862982006.4356,35355458982.408,901945766856.42,7222800790324.2,14468926538847,20580394969156,5016137340523.1,3601788760314.6,625155798190.77,211370071915.37
1,3,68.183946488294,68.183946488294,13456409.659129,835868437.10499,549674760.03101,1196716322.0445,416950005.5822,650812732.04526,551769257.15455,622668457.94835,708055106.57123,801998777.62141,586314301.12559,4694576286.567,38103775806.561,964588377423.75,7722559575497.5,15469590851561,22003485367403,5362968248201.2,3850819565800.9,668378841241.57,225984201332.98
1,3,71.772575250836,71.772575250836,21760433.823286,1297826492.3862,852823234.48292,1853891644.0356,645688070.54644,1007299617.8562,853642199.21529,962884156.87776,1094361567.9708,1238846996.4796,903479834.49069,5906259283.32,41139620402.181,1029677397298.4,8240678573059.9,16506730610448,23478301766132,5722390771957.7,4108886628613,713169790610.74,241128503876.63
1,3,75.361204013378,75.361204013378,33480488.339191,1931319604.8912,1268290393.477,2753363833.5958,958661588.1463,1494824064.1464,1266313690.9475,1427765239.574,1621956128.227,1835125574.1248,1336132950.0066,7493850816.8406,44442110780.078,1096712351918.3,8773159331503.6,17572338680042,24993456461150,6091629510340.3,4373997154699.6,759182766381.9,256686034210.65
1,3,78.94983277592,78.94983277592,52942526.042106,2943362423.5997,1931474135.3066,4186414956.8939,1457067984.2995,2270639353.3433,1922631846.4143,2166636520.772,2459877854.4415,2781321845.5691,2022120205.2417,9901529301.0287,48291139596.646,1167052396142.2,9329434567453,18684953269232,26575134862224,6477048296920.5,4650714756608.1,807209282366.06,272924469610.11
1,3,82.538461538462,82.538461538462,85805353.383025,4573454349.0892,2998520616.7212,6486026468.1231,2256338410.9174,3513465351.3093,2973125278.0256,3348107266.262,3798217489.7792,4290620746.6343,3115169759.6115,13613511672.636,52937229099.617,1240747159838.1,9908319199826.4,19841813184062,28219212505218,6877622123646.4,4938297170199.3,857119883264.63,289800104016.49
1,3,86.127090301003,86.127090301003,132481378.22233,6818592404.0853,4467095221.613,9644770572.4758,3353682083.1426,5218416577.8981,4413280348.4811,4966599694.7976,5629990147.9096,6354268642.7447,4608483960.425,18600243815.231,58337012015.452,1317073929020.5,10504129917748,21031561394309,29909550578788,7289419032228.1,5233921624745.4,908424679717.85,307147296163.27
1,3,89.715719063545,89.715719063545,208274027.8526,10329053603.936,6761181277.7455,14566282923.524,5062301094.8152,7870259776.3487,6651275648.8439,7479152031.1984,8470228249.137,9549560057.2273,6918200111.1335,26175510961.774,65229543087.861,1397781436084.7,11126604015882,22272660517594,31671879426449,7718657223623.2,5542036164649.8,961894036187.76,325226684011.92
1,3,93.304347826087,93.304347826087,338294299.14255,16057494192.318,10499708352.808,22553175078.326,7832205078.3909,12161577015.877,10267471639.747,11531913276.411,13042159184.357,14680690996.56,10620638359.24,38113397546.457,74541285148.561,1483555206843.4,11775561402855,23563378614178,33503044725059,8164499192250.8,5862017742616,1017417663994.8,344001196432.75
1,3,96.892976588629,96.892976588629,524094039.78587,23978529756.823,15664251901.336,33550709395.033,11643025241.902,18057103402.164,15229509184.342,17085156750.462,19296388204.342,21686283787.842,15668449145.828,54226474892.715,86128678003.264,1573336868821.9,12443222081648,24888313358127,35381236639030,8621639393626.5,6190060115763.7,1074335256456,363247542619.65
1,3,100.48160535117,100.48160535117,819259544.0891,36104530631.775,23561529960.269,50300423892.685,17441065211.214,27011020207.427,22754345993.748,25491700030.281,28744372902.637,32243544457.361,23261839377.863,78195369656.591,101952753863.01,1669703523948.8,13138520494943,26262537302662,37326472708982,9094815587009.2,6529520647363,1133225134983.8,383161705423.59
1,3,104.07023411371,104.07023411371,1333552013.1572,56139918890.624,36585957067.02,77723567244.024,26915553637.232,41593734848.685,34974900476.3,39098863523.01,43977601892.637,49188371848.83,35409825167.019,115958315803.24,125055636884.83,1774871543821.6,13860885779218,27680558806118,39328784488107,9581386204830.5,6878436295198.8,1193740032431.2,403626927230.96
