x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9
1,3,118.42474916388,118.42474916388,276269675463.34,789337019805.74,365435516404.2,626662683209.1,658907258798.98,2769589202108.2,89727348334320,18097027081753,1755148527868.6
1,3,122.01337792642,122.01337792642,409704081935.41,1136201743578.2,521986161217.72,882134707229.52,894173335208.61,2960354815917.4,93508765329887,18846808339807,1827526460395.2
1,3,125.60200668896,125.60200668896,634971364894.85,1685592582373,765388516812.22,1266192129133.6,1236276344664.3,3178361971824.8,96942557676533,19520027540843,1892311985376.9
1,3,129.19063545151,129.19063545151,949267744168.99,2415202744693.4,1083808407108.4,1755722792511.1,1662056077443.9,3414719161916.4,1.0001456086887e+14,20115329720946,1949413827063.7
1,3,132.77926421405,132.77926421405,1401709053338,3417001309603.2,1514386097468.6,2400043481765.5,2208475319891.9,3675823247583.6,1.0251372562028e+14,20588022114660,1994443647590.8
1,3,136.36789297659,136.36789297659,2176056955736,4966832481470.5,2158034109944.3,3311172030377.6,2944859588346.1,3963348007500.7,1.037412079955e+14,20793558126692,2013295333717.7
1,3,139.95652173913,139.95652173913,3261135219726.1,6968770081099.4,2965564477350.3,4406388849016.1,3799046850943.1,4257062103234.1,1.0387153610259e+14,20771386299352,2009899089370.6
1,3,143.54515050167,143.54515050167,4795245826164.2,9598117363425.6,3995831168745,5742866442164.6,4801366583391.3,4553209397773.6,1.0246033217614e+14,20430328515334,1975371170206.5
1,3,147.13377926421,147.13377926421,7456546151098.8,13410415918211,5383357782831.6,7377916793409.1,5928820256485.8,4798597294415.9,97945596977096,19452391416164,1878607409868.3
1,3,150.72240802676,150.72240802676,11201480195508,17995361832719,6944525976548.4,9091886189547.4,7028040776056.2,5002536864372.2,91109803600260,17974554671891,1731351206109.8
1,3,154.3110367893,154.3110367893,16403249584131,23531890697431,8698540539151.6,10862200059768,8053795383637.5,5152510449453.4,81311978265436,15851517815820,1518445597165.6
1,3,157.89966555184,157.89966555184,25548035454525,29863447430744,10296411152939,12205847736439,8479706736234.4,6389576258479.1,65719852564982,11730080449836,1084669787758.1
1,3,161.48829431438,161.48829431438,33248173410257,35291142857560,11619250883082,13275638698107,8734461643109.8,7516248484997.6,51889077829293,8217376186275.2,721103422558.44
1,3,165.07692307692,165.07692307692,38297474357070,39319859799783,12578196296496,14025187151077,8840791660414.9,8318373519056.4,41443468655694,5873961575627.8,490906145921.95
1,3,168.66555183946,168.66555183946,42453598766078,42955996835356,13481199431647,14758014640334,8985905103491,8909947143796.9,32355001313490,3913281626373.7,300808818126.4
1,3,172.25418060201,172.25418060201,43145247618746,45069385082832,14167212254802,15425984436168,9281452671163.1,8684828681295.3,28530649744972,3437162480988.3,266252177630.19
1,3,175.84280936455,175.84280936455,43836896471414,47182773330308,14853225077956,16093954232002,9577000238835.2,8459710218793.7,24706298176455,2961043335603,231695537133.98
1,3,179.43143812709,179.43143812709,43550538979702,47950506739390,15183020814562,16497190529670,9799985252190.4,8372595440631.6,23315847259364,2774720153540.5,216655152940.53
1,3,183.02006688963,183.02006688963,43259473986435,48711763020506,15511101948294,16899152568370,10022620995483,8286144924580.2,21937111594599,2589791865238.9,201708707613.02
1,3,186.60869565217,186.60869565217,42884915580316,48962407675964,15658597839382,17118626060281,10159944188141,8256090916563.5,21253555717304,2498167322763.3,194406240226
1,3,190.19732441472,190.19732441472,42487550759108,49073577607774,15756766461863,17288252391739,10273964064100,8241441742627.3,20759889775667,2432028910078.8,189191742750.44
1,3,193.78595317726,193.78595317726,42132619812226,49040582115919,15791181002040,17376972976744,10341472715382,8230850690754.2,20442955391814,2389577803307.1,185836584991.73
1,3,197.3745819398,197.3745819398,41808964029341,48901331955141,15778606682229,17406063359964,10374701061072,8223250608596.9,20256277991105,2364585021724.7,183851821888.05
1,3,200.96321070234,200.96321070234,41511635155421,48734708191685,15750278035185,17410270350527,10391190741034,8211989852913.4,20102698804932,2344245141519.4,182239486010.09
1,3,204.55183946488,204.55183946488,41259923275043,48520653814240,15694651650883,17371361547904,10378677107034,8194386198379.6,20006469345638,2331967406868.5,181272459855.89
1,3,208.14046822742,208.14046822742,41014851722130,48304768703214,15637027946577,17328228352399,10362835992036,8175353339468,19913137984814,2320151238104,180342743007.53
1,3,211.72909698997,211.72909698997,40805657274445,48078992299673,15568612897959,17262271133724,10329016789879,8148598615012.6,19835464795108,2310828869224.9,179614605056.96
1,3,215.31772575251,215.31772575251,40596462826759,47853215896133,15500197849341,17196313915050,10295197587723,8121843890557.2,19757791605402,2301506500345.7,178886467106.39
1,3,218.90635451505,218.90635451505,40407258875227,47632802878148,15430188457209,17122580895974,10253701234727,8090293804206.9,19679805268471,2292379535318.4,178176428399.53
1,3,222.49498327759,222.49498327759,40219186624637,47412693491871,15360088806185,17048407673685,10211770263261,8058472243075.1,19601801203665,2283263632483.9,177467414326.14
